选股日期,实际选股日,排名,代码,名称,相似度,匹配案例,匹配日期,类别,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,卖出日期,持有天数
2026-01-01,2025-12-31,1,000520,凤凰航运,92.2%,方正科技,2025-07-23,near_duokong,靠近多空线 (±3%) | 匹配方正科技,4.84,4.34,-10.33%,+1.86%,2026-01-30,30
2026-01-01,2025-12-31,2,603212,赛伍技术,90.8%,新瀚新材,2025-08-01,near_short_trend,靠近短期趋势线 (±2%) | 匹配新瀚新材,14.29,16.18,+13.23%,+33.31%,2026-01-30,30
2026-01-01,2025-12-31,3,000533,顺钠股份,90.2%,微芯生物,2025-06-20,bowl_center,回落碗中 | 匹配微芯生物,8.33,8.38,+0.60%,+19.21%,2026-01-30,30
2026-01-01,2025-12-31,4,688710,益诺思,87.5%,华纳药厂,2025-05-12,near_duokong,靠近多空线 (±3%) | 匹配华纳药厂,44.15,58.6,+32.73%,+63.08%,2026-01-30,30
2026-01-01,2025-12-31,5,688379,华光新材,87.0%,光电股份,2025-07-10,near_short_trend,靠近短期趋势线 (±2%) | 匹配光电股份,55.06,53.25,-3.29%,+8.75%,2026-01-30,30
2026-01-01,2025-12-31,6,688583,思看科技,86.9%,方正科技,2025-07-23,bowl_center,回落碗中 | 匹配方正科技,93.19,128.68,+38.08%,+38.08%,2026-01-30,30
2026-01-01,2025-12-31,7,603063,禾望电气,86.0%,新瀚新材,2025-08-01,near_duokong,靠近多空线 (±3%) | 匹配新瀚新材,33.07,29.76,-10.01%,+3.99%,2026-01-30,30
2026-01-01,2025-12-31,8,601500,通用股份,85.0%,方正科技,2025-07-23,near_short_trend,靠近短期趋势线 (±2%) | 匹配方正科技,4.82,4.69,-2.70%,+4.15%,2026-01-30,30
2026-01-01,2025-12-31,9,000801,四川九洲,84.1%,宁波韵升,2025-08-06,near_duokong,靠近多空线 (±3%) | 匹配宁波韵升,16.96,15.62,-7.90%,+9.37%,2026-01-30,30
2026-01-01,2025-12-31,10,603008,喜临门,83.9%,方正科技,2025-07-23,bowl_center,回落碗中 | 匹配方正科技,20.48,21.53,+5.13%,+11.33%,2026-01-30,30
2026-02-01,2026-01-30,1,002876,三利谱,93.6%,航天发展,2025-11-12,bowl_center,回落碗中 | 匹配航天发展,25.81,28.27,+9.53%,+12.32%,2026-03-02,30
2026-02-01,2026-01-30,2,301439,泓淋电力,92.1%,航天发展,2025-11-12,near_duokong,靠近多空线 (±3%) | 匹配航天发展,16.28,16.96,+4.18%,+6.82%,2026-03-02,30
2026-02-01,2026-01-30,3,603811,诚意药业,91.2%,光电股份,2025-07-10,near_duokong,靠近多空线 (±3%) | 匹配光电股份,11.62,11.3,-2.75%,+2.93%,2026-03-02,30
2026-02-01,2026-01-30,4,601965,中国汽研,90.3%,新瀚新材,2025-08-01,near_short_trend,靠近短期趋势线 (±2%) | 匹配新瀚新材,18.95,19.49,+2.85%,+8.23%,2026-03-02,30
2026-02-01,2026-01-30,5,002950,奥美医疗,90.0%,微芯生物,2025-06-20,bowl_center,回落碗中 | 匹配微芯生物,11.56,10.79,-6.66%,+2.77%,2026-03-02,30
2026-02-01,2026-01-30,6,002617,露笑科技,89.9%,光电股份,2025-07-10,near_duokong,靠近多空线 (±3%) | 匹配光电股份,8.6,9.1,+5.81%,+10.23%,2026-03-02,30
2026-02-01,2026-01-30,7,002692,远程股份,89.8%,航天发展,2025-11-12,near_duokong,靠近多空线 (±3%) | 匹配航天发展,5.54,5.61,+1.26%,+4.51%,2026-03-02,30
2026-02-01,2026-01-30,8,002067,景兴纸业,89.8%,宁波韵升,2025-08-06,near_duokong,靠近多空线 (±3%) | 匹配宁波韵升,5.52,5.63,+1.99%,+9.42%,2026-03-02,30
2026-02-01,2026-01-30,9,600829,人民同泰,89.7%,昂利康,2025-07-11,near_duokong,靠近多空线 (±3%) | 匹配昂利康,11.22,10.49,-6.51%,+6.77%,2026-03-02,30
2026-02-01,2026-01-30,10,000720,新能泰山,89.6%,航天发展,2025-11-12,near_duokong,靠近多空线 (±3%) | 匹配航天发展,3.65,3.85,+5.48%,+8.77%,2026-03-02,30
2026-03-01,2026-02-27,1,600173,卧龙新能,91.9%,宁波韵升,2025-08-06,bowl_center,回落碗中 | 匹配宁波韵升,8.36,7.67,-8.25%,+0.12%,2026-03-20,30
2026-03-01,2026-02-27,2,688429,时创能源,89.3%,光电股份,2025-07-10,near_short_trend,靠近短期趋势线 (±2%) | 匹配光电股份,16.23,16.4,+1.05%,+5.98%,2026-03-20,30
2026-03-01,2026-02-27,3,002326,永太科技,85.8%,方正科技,2025-07-23,near_duokong,靠近多空线 (±3%) | 匹配方正科技,24.66,21.72,-11.92%,+1.78%,2026-03-20,30
2026-03-01,2026-02-27,4,002412,汉森制药,85.6%,航天发展,2025-11-12,near_short_trend,靠近短期趋势线 (±2%) | 匹配航天发展,7.43,6.58,-11.44%,+0.13%,2026-03-20,30
2026-03-01,2026-02-27,5,603317,天味食品,84.4%,新瀚新材,2025-08-01,bowl_center,回落碗中 | 匹配新瀚新材,13.42,12.32,-8.20%,+1.04%,2026-03-20,30
2026-03-01,2026-02-27,6,301371,敷尔佳,84.2%,华纳药厂,2025-05-12,near_duokong,靠近多空线 (±3%) | 匹配华纳药厂,24.72,23.2,-6.15%,+0.16%,2026-03-20,30
2026-03-01,2026-02-27,7,301222,浙江恒威,83.9%,航天发展,2025-11-12,near_short_trend,靠近短期趋势线 (±2%) | 匹配航天发展,33.25,32.66,-1.77%,+4.33%,2026-03-20,30
2026-03-01,2026-02-27,8,688435,英方软件,83.6%,宁波韵升,2025-08-06,bowl_center,回落碗中 | 匹配宁波韵升,57.16,47.0,-17.77%,+2.33%,2026-03-20,30
2026-03-01,2026-02-27,9,002375,亚厦股份,83.4%,新瀚新材,2025-08-01,bowl_center,回落碗中 | 匹配新瀚新材,4.33,3.94,-9.01%,+0.23%,2026-03-20,30
2026-03-01,2026-02-27,10,600814,杭州解百,82.4%,华纳药厂,2025-05-12,near_duokong,靠近多空线 (±3%) | 匹配华纳药厂,8.44,7.64,-9.48%,+0.24%,2026-03-20,30
