选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,触发顺序,是否曾跌破成本价,行业,行业热度_买入日,行业热度_10pct 日,行业热度_neg2pct 日,行业热度_neg4pct 日,行业热度_卖出日
2025-09-05,1,000776,广发证券,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,20.49,22.62,+10.40%,+19.81%,第35天,2025-10-20,45,2025-09-29,2025-09-05,-,第24天,"('neg2pct', '10pct')",是,证券,15.04,41.1,15.04,,14.75
2025-09-05,2,300211,*ST亿通,94.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.16,9.73,-4.23%,+4.13%,第34天,2025-10-20,45,-,2025-09-05,2025-09-12,-,"('neg2pct', 'neg4pct')",是,医药,21.48,,21.48,21.36,22.91
2025-09-05,3,300255,常山药业,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,47.59,50.98,+7.12%,+9.25%,第45天,2025-10-20,45,-,2025-09-05,2025-09-05,-,"('neg2pct', 'neg4pct')",是,医药,21.48,,21.48,21.48,22.91
2025-09-05,4,300561,*ST汇科,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,16.56,15.46,-6.64%,+9.48%,第12天,2025-10-20,45,-,2025-09-05,2025-09-23,-,"('neg2pct', 'neg4pct')",是,计算机,77.83,,77.83,80.17,76.91
2025-09-05,5,301091,深城交,94.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,32.18,32.5,+0.99%,+14.73%,第39天,2025-10-20,45,2025-10-13,2025-09-05,-,第38天,"('neg2pct', '10pct')",是,计算机,77.83,79.98,77.83,,76.91
