selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days
2025-09-01,600595,中孚实业,1,96.45,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],5.27,5.33,1.1385199240986812,10.246679316888047,11,2025-09-16,15
2025-09-01,001268,联合精密,2,96.34,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],35.33,36.66,3.7645060854797574,10.048117746957272,14,2025-09-16,15
2025-09-01,300247,融捷健康,3,95.64,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],4.5,4.61,2.4444444444444513,4.666666666666666,15,2025-09-16,15
2025-09-01,301119,正强股份,4,95.46,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],37.3,38.7,3.753351206434332,4.557640750670249,15,2025-09-16,15
2025-09-01,002215,诺 普 信,5,95.35,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],12.29,12.75,3.742880390561439,3.9869812855980493,15,2025-09-16,15
2025-09-01,002199,*ST东晶,6,94.99,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],10.55,10.13,-3.981042654028435,5.876777251184826,14,2025-09-16,15
2025-09-01,300354,东华测试,7,94.69,case_011,2025-11-12,主板,['匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破'],43.48,44.46,2.253909843606265,3.9328426862925507,0,2025-09-16,15
2025-09-01,600986,浙文互联,8,94.57,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],9.3,8.74,-6.021505376344091,3.7634408602150495,0,2025-09-16,15
2025-09-01,002779,中坚科技,9,94.56,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],99.78,133.34,33.63399478853478,35.29765484064943,14,2025-09-16,15
2025-09-01,688316,青云科技-U,10,94.55,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],73.4,71.4,-2.7247956403269753,4.7411444141689225,0,2025-09-16,15
2025-09-02,601608,中信重工,1,97.09,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],5.27,5.47,3.795066413662243,4.554079696394691,15,2025-09-17,15
2025-09-02,600510,黑牡丹,2,96.15,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],7.12,8.03,12.780898876404484,20.646067415730332,10,2025-09-17,15
2025-09-02,300247,融捷健康,3,95.79,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],4.46,4.58,2.690582959641258,5.605381165919283,14,2025-09-17,15
2025-09-02,301011,华立科技,4,95.66,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],28.88,28.73,-0.5193905817174467,3.9127423822714773,0,2025-09-17,15
2025-09-02,001268,联合精密,5,95.25,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],34.89,34.26,-1.8056749785038768,11.435941530524511,13,2025-09-17,15
2025-09-02,300656,民德电子,6,95.25,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],25.84,25.48,-1.393188854489162,8.165634674922599,3,2025-09-17,15
2025-09-02,600733,北汽蓝谷,7,95.09,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],8.59,8.58,-0.11641443538998589,5.704307334109432,14,2025-09-17,15
2025-09-02,688646,ST逸飞,8,94.96,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],30.69,32.23,5.01792114695339,10.492016943629832,7,2025-09-17,15
2025-09-02,000158,常山北明,9,94.81,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],24.44,24.4,-0.16366612111294065,4.746317512274959,0,2025-09-17,15
2025-09-02,300647,超频三,10,94.55,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],7.18,7.45,3.7604456824512598,4.874651810584965,15,2025-09-17,15
2025-09-03,300792,壹网壹创,1,96.93,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],28.49,32.0,12.320112320112326,20.39312039312039,14,2025-09-18,15
2025-09-03,688580,伟思医疗,2,96.54,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],51.2,51.03,-0.33203125000000333,7.031249999999989,5,2025-09-18,15
2025-09-03,601608,中信重工,3,96.36,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],5.22,5.42,3.8314176245210767,8.045977011494251,15,2025-09-18,15
2025-09-03,600864,哈投股份,4,96.34,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],7.34,7.28,-0.8174386920980874,5.0408719346049065,0,2025-09-18,15
2025-09-03,301536,星宸科技,5,95.74,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],61.85,62.78,1.5036378334680673,5.8852061438965135,15,2025-09-18,15
