selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days,trigger_10pct_date,trigger_5pct_date,trigger_neg2pct_date,trigger_neg4pct_date,trigger_10pct_day,trigger_5pct_day,first_reach_order,ever_below_zero,industry,industry_heat_buy,industry_heat_10pct,industry_heat_5pct,industry_heat_neg2pct,industry_heat_neg4pct,industry_heat_sell
2026-03-04,300025,华星创业,5,96.57,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],5.65,5.92,4.778761061946895,5.84070796460177,1,2026-03-09,5,,2026-03-05,,,,1,,True,未知,,,,,,
2026-03-06,002812,恩捷股份,1,96.04,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],61.25,69.74,13.861224489795909,15.72244897959183,5,2026-03-11,5,2026-03-10,2026-03-09,2026-03-09,,4,3,"('5pct', 'neg2pct', '10pct')",True,化工,27.16,26.63,27.57,27.57,,27.4
2026-03-06,688350,富淼科技,2,95.62,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],31.13,29.2,-6.199807259877931,2.6983617089624152,0,2026-03-11,5,,,2026-03-09,2026-03-09,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-06,601061,中信金属,3,94.82,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],14.46,13.98,-3.3195020746887995,2.3513139695712297,0,2026-03-11,5,,,2026-03-09,2026-03-09,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-06,603173,福斯达,4,94.76,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],44.97,43.61,-3.024238381142983,2.690682677340451,0,2026-03-11,5,,,2026-03-09,2026-03-09,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-06,300604,长川科技,5,94.56,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],128.95,128.97,0.015509887553323174,4.133385032958521,5,2026-03-11,5,,,2026-03-09,2026-03-09,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-11,000655,金岭矿业,1,94.83,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],10.29,9.97,-3.1098153547132994,6.511175898931018,2,2026-03-16,5,,2026-03-13,2026-03-16,2026-03-16,,2,"('5pct', 'neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-11,300881,盛德鑫泰,2,94.71,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],50.13,46.2,-7.839616995810891,5.346100139636943,0,2026-03-16,5,,2026-03-11,2026-03-12,2026-03-12,,0,"('5pct', 'neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-11,603867,新化股份,3,94.65,case_008,2025-07-10,主板,['匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行'],34.35,32.34,-5.85152838427947,2.4745269286754046,1,2026-03-16,5,,,2026-03-12,2026-03-16,,,"('neg2pct', 'neg4pct')",True,化工,27.4,,,27.98,27.89,27.89
2026-03-11,000668,*ST荣控,4,94.63,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],14.33,14.13,-1.3956734124214882,0.48848569434752465,1,2026-03-16,5,,,2026-03-12,2026-03-12,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
