selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days,trigger_10pct_date,trigger_neg2pct_date,trigger_neg4pct_date,trigger_10pct_day,first_reach_order,ever_below_zero,industry,industry_heat_buy,industry_heat_10pct,industry_heat_neg2pct,industry_heat_neg4pct,industry_heat_sell
2025-09-10,301446,福事特,1,97.34,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],28.29,33.33,17.81548250265111,34.85330505478968,42,2025-10-27,45,2025-09-18,2025-09-10,,8,"('neg2pct', '10pct')",True,电子,39.45,67.69,39.45,,54.54
2025-09-10,688301,奕瑞科技,2,97.05,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],110.18,114.57,3.9843891813396133,14.35832274459974,30,2025-10-27,45,2025-10-09,,,29,,True,电子,39.45,62.74,,,54.54
2025-09-10,603669,灵康药业,3,96.24,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],5.81,5.58,-3.958691910499132,5.851979345955263,2,2025-10-27,45,,2025-09-11,2025-09-23,,"('neg2pct', 'neg4pct')",True,医药,18.29,,33.93,28.46,36.0
2025-09-10,688591,泰凌微,4,95.88,case_001,2025-05-12,科创板,['匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位'],48.21,50.14,4.003318813524164,35.24165110972828,29,2025-10-27,45,2025-09-17,2025-10-23,2025-10-23,7,"('10pct', 'neg2pct', 'neg4pct')",True,电子,39.45,49.74,42.13,42.13,54.54
2025-09-10,688127,蓝特光学,5,95.4,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],31.41,32.84,4.552690226042673,11.747851002865334,29,2025-10-27,45,2025-10-09,2025-09-10,2025-09-16,29,"('neg2pct', 'neg4pct', '10pct')",True,电子,39.45,62.74,39.45,39.45,54.54
2025-09-05,000776,广发证券,1,95.0,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],20.49,22.62,10.39531478770133,19.814543679843837,35,2025-10-20,45,2025-09-29,2025-09-05,,24,"('neg2pct', '10pct')",True,证券,15.04,41.1,15.04,,14.75
2025-09-05,300211,*ST亿通,2,94.67,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],10.16,9.73,-4.232283464566926,4.133858267716534,34,2025-10-20,45,,2025-09-05,2025-09-12,,"('neg2pct', 'neg4pct')",True,医药,21.48,,21.48,21.36,22.91
2025-09-05,300255,常山药业,3,94.44,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],47.59,50.98,7.12334524059675,9.24563984030258,45,2025-10-20,45,,2025-09-05,2025-09-05,,"('neg2pct', 'neg4pct')",True,医药,21.48,,21.48,21.48,22.91
2025-09-05,300561,*ST汇科,4,94.43,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],16.56,15.46,-6.642512077294674,9.480676328502417,12,2025-10-20,45,,2025-09-05,2025-09-23,,"('neg2pct', 'neg4pct')",True,计算机,77.83,,77.83,80.17,76.91
2025-09-05,301091,深城交,5,94.14,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],32.18,32.5,0.9944064636420147,14.729645742697334,39,2025-10-20,45,2025-10-13,2025-09-05,,38,"('neg2pct', '10pct')",True,计算机,77.83,79.98,77.83,,76.91
2025-09-08,600864,哈投股份,1,94.3,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],7.44,8.03,7.930107526881707,9.408602150537636,45,2025-10-23,45,,2025-09-18,2025-09-19,,"('neg2pct', 'neg4pct')",True,电子,59.31,,67.69,42.39,42.13
2025-09-08,300561,*ST汇科,2,93.87,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],16.54,16.59,0.3022974607013344,9.613059250302298,9,2025-10-23,45,,2025-09-22,2025-09-23,,"('neg2pct', 'neg4pct')",True,计算机,80.03,,83.25,80.17,78.9
2025-09-08,003010,若羽臣,3,93.73,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],42.186,41.41,-1.8394728108851357,15.820414355473378,38,2025-10-23,45,2025-10-16,2025-09-09,2025-09-09,38,"('neg2pct', 'neg4pct', '10pct')",True,零售,13.42,16.01,21.9,21.9,19.23
2025-09-08,600058,五矿发展,4,93.63,case_011,2025-11-12,主板,['匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破'],9.45,9.1,-3.7037037037037,6.349206349206364,4,2025-10-23,45,,2025-09-11,2025-09-18,,"('neg2pct', 'neg4pct')",True,化工,27.09,,27.72,30.7,26.05
2025-09-08,000737,北方铜业,5,93.44,case_008,2025-07-10,主板,['匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行'],11.99,15.32,27.773144286905755,57.46455379482901,32,2025-10-23,45,2025-09-12,2025-09-10,,4,"('neg2pct', '10pct')",True,建筑,23.11,28.04,19.65,,18.8
2025-09-09,002356,赫美集团,1,94.77,case_011,2025-11-12,主板,['匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破'],3.6,3.59,-0.27777777777778423,11.38888888888888,13,2025-10-24,45,2025-09-22,2025-09-18,2025-09-29,13,"('neg2pct', '10pct', 'neg4pct')",True,计算机,76.3,83.25,87.58,80.52,90.69
2025-09-09,603379,三美股份,2,94.63,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],56.22,56.14,-0.1422981145499792,10.138740661686239,31,2025-10-24,45,2025-10-10,2025-09-16,2025-09-23,31,"('neg2pct', 'neg4pct', '10pct')",True,化工,24.24,24.3,26.45,27.75,28.36
2025-09-09,000753,漳州发展,3,94.25,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],6.665,7.335,10.052513128282069,22.355588897224298,35,2025-10-24,45,2025-09-17,2025-09-11,,8,"('neg2pct', '10pct')",True,化工,24.24,24.23,27.72,,28.36
2025-09-09,600222,太龙药业,4,94.15,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],6.627,6.537,-1.3580805794477118,6.186811528595144,8,2025-10-24,45,,2025-09-11,2025-09-19,,"('neg2pct', 'neg4pct')",True,医药,21.86,,33.93,18.92,27.16
2025-09-09,002241,歌尔股份,5,93.89,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],31.033,33.133,6.766989978410084,30.612573711855124,30,2025-10-24,45,2025-09-22,2025-09-11,,13,"('neg2pct', '10pct')",True,电子,45.93,45.03,50.25,,63.83
