selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days,trigger_10pct_date,trigger_neg2pct_date,trigger_neg4pct_date,trigger_10pct_day,first_reach_order,ever_below_zero,industry,industry_heat_buy,industry_heat_10pct,industry_heat_neg2pct,industry_heat_neg4pct,industry_heat_sell
2025-07-01,301188,力诺药包,1,95.69,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],21.78,25.26,15.977961432506888,18.319559228650128,44,2025-08-15,45,2025-08-11,2025-07-02,2025-07-03,41,"('neg2pct', 'neg4pct', '10pct')",True,新能源,27.85,27.4,34.51,30.94,28.06
2025-07-01,000518,*ST四环,2,94.28,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],2.54,2.28,-10.236220472440955,3.1496062992126013,3,2025-08-15,45,,2025-07-02,2025-07-11,,"('neg2pct', 'neg4pct')",True,化工,28.73,,29.92,28.5,26.01
2025-07-01,603036,如通股份,3,93.9,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],16.96,19.9,17.334905660377345,17.924528301886784,45,2025-08-15,45,2025-08-14,2025-07-08,2025-07-11,44,"('neg2pct', 'neg4pct', '10pct')",True,化工,28.73,25.83,29.63,28.5,26.01
2025-07-01,000669,ST金鸿,4,93.5,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],2.6,3.45,32.69230769230769,41.53846153846154,44,2025-08-15,45,2025-07-22,2025-07-02,,21,"('neg2pct', '10pct')",True,化工,28.73,28.31,29.92,,26.01
2025-07-01,300475,香农芯创,5,93.48,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],35.045,36.075,2.9390783278641774,7.932658011128551,43,2025-08-15,45,,2025-07-02,2025-07-10,,"('neg2pct', 'neg4pct')",True,新能源,27.85,,34.51,35.65,28.06
2025-07-01,603657,春光科技,6,93.09,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],33.58,33.63,0.1488981536629073,8.368076235854682,7,2025-08-15,45,,2025-07-01,2025-07-10,,"('neg2pct', 'neg4pct')",True,化工,28.73,,28.73,30.37,26.01
2025-07-01,000766,通化金马,7,92.72,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],25.35,23.5,-7.297830374753457,2.3668639053254354,1,2025-08-15,45,,2025-07-02,2025-07-02,,"('neg2pct', 'neg4pct')",True,化工,28.73,,29.92,29.92,26.01
2025-07-01,301567,贝隆精密,8,92.42,case_011,2025-11-12,主板,['匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破'],42.55,43.83,3.0082256169212718,6.415981198589904,41,2025-08-15,45,,2025-07-02,,,,True,新能源,27.85,,34.51,,28.06
2025-07-01,603353,和顺石油,9,92.26,case_008,2025-07-10,主板,['匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行'],16.58,16.73,0.904704463208698,4.583835946924015,41,2025-08-15,45,,2025-07-04,,,,True,化工,28.73,,28.6,,26.01
2025-07-01,600568,ST中珠,10,91.68,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],1.66,1.88,13.253012048192769,17.469879518072293,43,2025-08-15,45,2025-08-12,2025-07-02,2025-07-02,42,"('neg2pct', 'neg4pct', '10pct')",True,化工,28.73,26.29,29.92,29.92,26.01
2025-07-02,000669,ST金鸿,1,94.79,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],2.6,3.35,28.846153846153843,41.53846153846154,43,2025-08-18,45,2025-07-22,2025-07-02,,20,"('neg2pct', '10pct')",True,化工,29.92,28.31,29.92,,25.85
