selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days
2025-10-09,603926,铁流股份,1,97.77,case_002,2025-08-06,bowl_center,['匹配case_002'],9.77,18.5,89.35516888433982,188.63868986693961,924,2026-03-20,30
2025-10-09,002681,奋达科技,2,95.82,case_006,2025-08-04,bowl_center,['匹配case_006'],4.89,5.6,14.519427402862986,114.519427402863,503,2026-03-20,30
2025-10-09,605136,丽人丽妆,3,95.76,case_001,2025-05-12,bowl_center,['匹配case_001'],11.584,9.79,-15.48687845303868,46.40883977900554,672,2026-03-20,30
2025-10-09,000810,创维数字,4,95.37,case_002,2025-08-06,bowl_center,['匹配case_002'],15.252,10.8,-29.189614476789927,19.204038814581693,518,2026-03-20,30
2025-10-09,600228,*ST返利,5,94.89,case_004,2025-07-23,bowl_center,['匹配case_004'],9.33,7.99,-14.362272240085744,5.680600214362266,12,2023-08-25,30
2025-10-09,001306,夏厦精密,6,94.18,case_002,2025-08-06,bowl_center,['匹配case_002'],109.52,67.28,-38.568298027757486,16.891891891891905,4,2026-03-20,30
2025-10-09,002555,三七互娱,7,94.18,case_002,2025-08-06,bowl_center,['匹配case_002'],23.466,22.42,-4.457512997528336,32.148640586380296,901,2026-03-20,30
2025-10-09,605319,无锡振华,8,94.11,case_009,2025-08-01,bowl_center,['匹配case_009'],11.136,23.75,113.27227011494254,156.4385775862069,589,2026-03-20,30
2025-10-09,300457,赢合科技,9,93.81,case_002,2025-08-06,bowl_center,['匹配case_002'],26.592,24.29,-8.656738868832731,48.50330926594466,795,2026-03-20,30
2025-10-09,603196,日播时尚,10,93.8,case_004,2025-07-23,bowl_center,['匹配case_004'],20.738,26.84,29.424245346706527,41.238306490500534,931,2026-03-20,30
2025-10-10,603926,铁流股份,1,97.04,case_002,2025-08-06,bowl_center,['匹配case_002'],9.77,18.5,89.35516888433982,188.63868986693961,924,2026-03-20,30
2025-10-10,002886,沃特股份,2,96.26,case_004,2025-07-23,bowl_center,['匹配case_004'],17.861,21.44,20.03807177649628,48.70387996192821,945,2026-03-20,30
2025-10-10,603298,杭叉集团,3,95.13,case_004,2025-07-23,bowl_center,['匹配case_004'],16.036,24.18,50.785732102768755,95.996507857321,944,2026-03-20,30
2025-10-10,605136,丽人丽妆,4,94.82,case_001,2025-05-12,bowl_center,['匹配case_001'],11.584,9.79,-15.48687845303868,46.40883977900554,672,2026-03-20,30
2025-10-10,300521,爱司凯,5,94.4,case_003,2025-06-20,bowl_center,['匹配case_003'],13.29,27.78,109.02934537246051,197.14070729872088,914,2026-03-20,30
2025-10-10,603266,天龙股份,6,94.1,case_008,2025-07-10,bowl_center,['匹配case_008'],13.64,18.45,35.263929618768316,249.04692082111436,104,2026-03-20,30
2025-10-10,002164,宁波东力,7,94.05,case_004,2025-07-23,bowl_center,['匹配case_004'],5.87,12.02,104.77001703577511,216.52470187393521,879,2026-03-20,30
2025-10-10,603912,佳力图,8,93.84,case_006,2025-08-04,bowl_center,['匹配case_006'],9.16,10.06,9.825327510917035,29.912663755458517,754,2026-03-20,30
2025-10-10,600228,*ST返利,9,93.66,case_004,2025-07-23,bowl_center,['匹配case_004'],9.33,7.99,-14.362272240085744,5.680600214362266,12,2023-08-25,30
2025-10-10,002664,信质集团,10,93.65,case_002,2025-08-06,bowl_center,['匹配case_002'],13.7,19.53,42.55474452554746,160.07299270072997,784,2026-03-20,30
2025-10-13,603683,晶华新材,1,96.07,case_002,2025-08-06,bowl_center,['匹配case_002'],10.955,27.75,153.30899132816066,234.185303514377,791,2026-03-20,30
2025-10-13,002920,德赛西威,2,94.54,case_004,2025-07-23,bowl_center,['匹配case_004'],154.56,110.8,-28.312629399585926,7.550465838509308,11,2026-03-20,30
2025-10-13,688237,超卓航科,3,93.94,case_002,2025-08-06,bowl_center,['匹配case_002'],43.79,48.7,11.21260561772095,42.68097739209865,830,2026-03-20,30
2025-10-13,301029,怡合达,4,93.86,case_004,2025-07-23,bowl_center,['匹配case_004'],37.73,24.49,-35.09143917307183,5.327325735489015,6,2026-03-20,30
2025-10-13,603266,天龙股份,5,93.7,case_003,2025-06-20,bowl_center,['匹配case_003'],13.64,18.45,35.263929618768316,249.04692082111436,104,2026-03-20,30
2025-10-13,002624,完美世界,6,93.6,case_002,2025-08-06,bowl_center,['匹配case_002'],13.685,17.83,30.28863719400802,73.03617099013518,929,2026-03-20,30
2025-10-13,603196,日播时尚,7,93.53,case_004,2025-07-23,bowl_center,['匹配case_004'],20.738,26.84,29.424245346706527,41.238306490500534,931,2026-03-20,30
2025-10-13,002558,巨人网络,8,93.41,case_002,2025-08-06,bowl_center,['匹配case_002'],13.332,32.12,140.9240924092409,300.16501650165014,908,2026-03-20,30
2025-10-13,002239,奥特佳,9,93.35,case_004,2025-07-23,bowl_center,['匹配case_004'],2.728,3.02,10.703812316715535,57.55131964809384,118,2026-03-20,30
2025-10-13,300984,金沃股份,10,93.14,case_002,2025-08-06,bowl_center,['匹配case_002'],18.121,54.99,203.4600739473539,396.4405937862149,904,2026-03-20,30
2025-10-14,002011,盾安环境,1,96.58,case_003,2025-06-20,bowl_center,['匹配case_003'],13.48,12.35,-8.382789317507424,15.356083086053415,789,2026-03-20,30
2025-10-14,300715,凯伦股份,2,95.38,case_004,2025-07-23,bowl_center,['匹配case_004'],14.785,13.36,-9.638146770375384,6.425431180250249,4,2026-03-20,30
2025-10-14,300688,创业黑马,3,94.53,case_006,2025-08-04,bowl_center,['匹配case_006'],31.565,27.1,-14.145414224615871,32.425154443212406,580,2026-03-20,30
2025-10-14,603926,铁流股份,4,94.03,case_002,2025-08-06,bowl_center,['匹配case_002'],9.77,18.5,89.35516888433982,188.63868986693961,924,2026-03-20,30
2025-10-14,603216,梦天家居,5,93.99,case_002,2025-08-06,bowl_center,['匹配case_002'],12.79,33.62,162.86161063330727,360.04691164972644,922,2026-03-20,30
2025-10-14,603486,科沃斯,6,93.78,case_006,2025-08-04,bowl_center,['匹配case_006'],72.916,61.24,-16.0129464040814,53.176257611498166,784,2026-03-20,30
2025-10-14,301479,弘景光电,7,93.57,case_006,2025-08-04,bowl_center,['匹配case_006'],113.264,72.114,-36.33104958327446,5.56222630315016,0,2025-04-17,30
2025-10-14,688230,芯导科技,8,93.45,case_004,2025-07-23,bowl_center,['匹配case_004'],41.19,62.97,52.87691187181355,116.67880553532413,796,2026-03-20,30
2025-10-14,688328,深科达,9,93.44,case_004,2025-07-23,bowl_center,['匹配case_004'],25.23,38.75,53.58699960364645,98.77130400317083,965,2026-03-20,30
2025-10-14,301046,能辉科技,10,93.39,case_004,2025-07-23,bowl_center,['匹配case_004'],29.5,26.2,-11.186440677966104,14.813559322033889,868,2026-03-20,30
2025-10-15,603216,梦天家居,1,96.54,case_002,2025-08-06,bowl_center,['匹配case_002'],12.79,33.62,162.86161063330727,360.04691164972644,922,2026-03-20,30
2025-10-15,600176,中国巨石,2,95.77,case_002,2025-08-06,bowl_center,['匹配case_002'],13.875,22.65,63.24324324324323,108.21621621621622,950,2026-03-20,30
2025-10-15,603918,金桥信息,3,95.47,case_006,2025-08-04,bowl_center,['匹配case_006'],27.96,13.87,-50.39341917024321,17.095851216022893,34,2026-03-20,30
2025-10-15,000069,华侨城Ａ,4,95.29,case_004,2025-07-23,bowl_center,['匹配case_004'],4.69,2.29,-51.1727078891258,7.036247334754779,8,2026-03-20,30
2025-10-15,002244,滨江集团,5,94.93,case_004,2025-07-23,bowl_center,['匹配case_004'],9.558,10.2,6.7168863779033225,33.919229964427714,796,2026-03-20,30
2025-10-15,000892,欢瑞世纪,6,94.8,case_002,2025-08-06,bowl_center,['匹配case_002'],4.18,6.0,43.54066985645934,136.1244019138756,930,2026-03-20,30
2025-10-15,688237,超卓航科,7,94.25,case_002,2025-08-06,bowl_center,['匹配case_002'],43.79,48.7,11.21260561772095,42.68097739209865,830,2026-03-20,30
2025-10-15,688127,蓝特光学,8,94.21,case_006,2025-08-04,bowl_center,['匹配case_006'],15.54,60.04,286.3577863577864,324.0669240669241,958,2026-03-20,30
2025-10-15,688779,五矿新能,9,94.13,case_002,2025-08-06,bowl_center,['匹配case_002'],10.87,10.76,-1.0119595216191302,17.57129714811408,958,2026-03-20,30
2025-10-15,000810,创维数字,10,94.08,case_002,2025-08-06,bowl_center,['匹配case_002'],15.252,10.8,-29.189614476789927,19.204038814581693,518,2026-03-20,30
