selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days,trigger_10pct_date,trigger_5pct_date,trigger_neg2pct_date,trigger_neg4pct_date,trigger_10pct_day,trigger_5pct_day,first_reach_order,ever_below_zero,industry,industry_heat_buy,industry_heat_10pct,industry_heat_5pct,industry_heat_neg2pct,industry_heat_neg4pct,industry_heat_sell
2025-09-09,002356,赫美集团,1,94.77,case_011,2025-11-12,主板,['匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破'],3.6,3.59,-0.27777777777778423,11.38888888888888,13,2025-10-24,45,2025-09-22,2025-09-18,2025-09-18,2025-09-29,13,9,"('5pct', 'neg2pct', '10pct', 'neg4pct')",True,轻工制造,29.52,26.41,32.78,32.78,26.84,27.46
2025-09-09,603379,三美股份,2,94.6,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],56.54,56.14,-0.7074637424831952,10.081358330385573,31,2025-10-24,45,2025-10-10,2025-09-29,2025-09-16,2025-09-23,31,20,"('neg2pct', 'neg4pct', '5pct', '10pct')",True,基础化工,74.8,66.14,68.22,64.69,68.47,67.89
2025-09-09,000753,漳州发展,3,94.25,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],6.67,7.34,10.044977511244376,22.33883058470765,35,2025-10-24,45,2025-09-17,2025-09-15,2025-09-11,,8,6,"('neg2pct', '5pct', '10pct')",True,汽车,54.74,60.84,60.17,51.24,,49.1
2025-09-09,600222,太龙药业,4,94.15,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],6.64,6.55,-1.355421686746986,6.174698795180725,8,2025-10-24,45,,2025-09-17,2025-09-11,2025-09-19,,8,"('neg2pct', '5pct', 'neg4pct')",True,医药生物,57.53,,47.27,67.71,43.05,46.4
2025-09-09,002241,歌尔股份,5,93.92,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],31.18,33.28,6.735086593970499,30.468248877485564,30,2025-10-24,45,2025-09-22,2025-09-12,2025-09-11,,13,3,"('neg2pct', '5pct', '10pct')",True,电子,76.1,79.87,81.4,87.33,,91.81
2025-09-09,688593,新相微,6,93.85,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],16.07,22.21,38.207840696950846,68.01493466085874,9,2025-10-24,45,2025-09-11,2025-09-11,,,2,2,"('10pct', '5pct')",True,电子,76.1,87.33,87.33,,,91.81
2025-09-09,300098,高新兴,7,93.83,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],5.67,5.59,-1.4109347442680789,10.934744268077603,6,2025-10-24,45,2025-09-15,2025-09-11,2025-10-13,2025-10-13,6,2,"('5pct', '10pct', 'neg2pct', 'neg4pct')",True,计算机,55.85,61.89,76.83,60.74,60.74,60.48
2025-09-09,300601,康泰生物,8,93.79,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],18.61,16.51,-11.284255776464255,3.54648038688877,1,2025-10-24,45,,,2025-09-11,2025-09-11,,,"('neg2pct', 'neg4pct')",True,医药生物,57.53,,,67.71,67.71,46.4
2025-09-09,003015,日久光电,9,93.67,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],17.69,17.35,-1.9219898247597504,6.557377049180328,16,2025-10-24,45,,2025-09-15,2025-09-29,2025-09-30,,6,"('5pct', 'neg2pct', 'neg4pct')",True,电子,76.1,,77.01,78.12,81.95,91.81
2025-09-09,688260,昀冢科技,10,93.67,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],30.57,31.4,2.715080143931954,25.87504088976119,31,2025-10-24,45,2025-10-09,2025-09-17,2025-09-10,2025-09-23,30,8,"('neg2pct', '5pct', 'neg4pct', '10pct')",True,电子,76.1,84.68,80.89,81.52,83.21,91.81
