选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数
2025-10-09,1,603926,铁流股份,97.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,17.71,16.13,-8.92%,+2.88%,第1天,2025-11-10,30
2025-10-09,2,002681,奋达科技,95.8%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,7.25,6.69,-7.72%,+1.10%,第0天,2025-11-10,30
2025-10-09,3,605136,丽人丽妆,95.8%,case_001 (华纳药厂),杯型整理+缩量+J值低位,2025-05-12,科创板,匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位,9.95,9.9,-0.50%,+3.52%,第7天,2025-11-10,30
2025-10-09,4,000810,创维数字,95.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,13.58,12.75,-6.11%,+4.49%,第1天,2025-11-10,30
2025-10-09,5,600228,*ST返利,94.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.56,6.97,+25.36%,+25.36%,第32天,2025-11-10,30
2025-10-09,6,001306,夏厦精密,94.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,102.72,91.37,-11.05%,+4.91%,第0天,2025-11-10,30
2025-10-09,7,002555,三七互娱,94.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,21.381,21.7,+1.49%,+12.91%,第26天,2025-11-10,30
2025-10-09,8,605319,无锡振华,94.1%,case_009 (新瀚新材),缩量后放量+价格接近短期趋势线+J值中位,2025-08-01,创业板,匹配case_009: 新瀚新材 - 缩量后放量+价格接近短期趋势线+J值中位,24.81,21.88,-11.81%,+3.10%,第0天,2025-11-10,30
2025-10-09,9,300457,赢合科技,93.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,34.48,28.7,-16.76%,+4.70%,第0天,2025-11-10,30
2025-10-09,10,603196,日播时尚,93.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,22.1,23.68,+7.15%,+10.81%,第18天,2025-11-10,30
2025-10-10,1,603926,铁流股份,97.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,17.66,16.13,-8.66%,+3.17%,第0天,2025-11-10,30
2025-10-10,2,002886,沃特股份,96.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,22.79,21.17,-7.11%,+1.76%,第0天,2025-11-10,30
2025-10-10,3,603298,杭叉集团,95.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,27.63,26.31,-4.78%,+10.03%,第20天,2025-11-10,30
2025-10-10,4,605136,丽人丽妆,94.8%,case_001 (华纳药厂),杯型整理+缩量+J值低位,2025-05-12,科创板,匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位,9.98,9.9,-0.80%,+3.21%,第6天,2025-11-10,30
2025-10-10,5,300521,爱司凯,94.4%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,29.12,26.6,-8.65%,+4.74%,第0天,2025-11-10,30
2025-10-10,6,603266,天龙股份,94.1%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,24.81,21.4,-13.74%,+1.17%,第0天,2025-11-10,30
2025-10-10,7,002164,宁波东力,94.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,14.32,12.76,-10.89%,+5.45%,第0天,2025-11-10,30
2025-10-10,8,603912,佳力图,93.8%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,9.2,8.68,-5.65%,+1.74%,第0天,2025-11-10,30
2025-10-10,9,600228,*ST返利,93.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.47,6.97,+27.42%,+27.42%,第31天,2025-11-10,30
2025-10-10,10,002664,信质集团,93.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,29.94,24.65,-17.67%,+11.06%,第10天,2025-11-10,30
2025-10-13,1,603683,晶华新材,96.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,32.94,30.82,-6.44%,+1.67%,第1天,2025-11-12,30
2025-10-13,2,002920,德赛西威,94.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,135.76,116.21,-14.40%,+5.05%,第3天,2025-11-12,30
2025-10-13,3,688237,超卓航科,93.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,54.09,54.8,+1.31%,+15.51%,第14天,2025-11-12,30
2025-10-13,4,301029,怡合达,93.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,29.89,26.99,-9.70%,+1.74%,第1天,2025-11-12,30
2025-10-13,5,603266,天龙股份,93.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,23.84,20.86,-12.50%,+2.27%,第1天,2025-11-12,30
2025-10-13,6,002624,完美世界,93.6%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,17.66,15.44,-12.57%,+2.49%,第1天,2025-11-12,30
2025-10-13,7,603196,日播时尚,93.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,21.54,23.22,+7.80%,+13.70%,第14天,2025-11-12,30
2025-10-13,8,002558,巨人网络,93.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,41.24,36.3,-11.98%,+3.66%,第1天,2025-11-12,30
2025-10-13,9,002239,奥特佳,93.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,3.23,3.18,-1.55%,+2.17%,第24天,2025-11-12,30
2025-10-13,10,300984,金沃股份,93.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,68.46,60.31,-11.90%,+5.83%,第2天,2025-11-12,30
2025-10-14,1,002011,盾安环境,96.6%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,13.51,13.93,+3.11%,+7.25%,第13天,2025-11-13,30
2025-10-14,2,300715,凯伦股份,95.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,11.73,11.64,-0.77%,+13.64%,第21天,2025-11-13,30
