选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数
2025-09-01,1,600595,中孚实业,96.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.27,5.33,+1.14%,+10.25%,第11天,2025-09-16,15
2025-09-01,2,001268,联合精密,96.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,35.33,36.66,+3.76%,+10.05%,第14天,2025-09-16,15
2025-09-01,3,300247,融捷健康,95.6%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,4.5,4.61,+2.44%,+4.67%,第15天,2025-09-16,15
2025-09-01,4,301119,正强股份,95.5%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,37.3,38.7,+3.75%,+4.56%,第15天,2025-09-16,15
2025-09-01,5,002215,诺 普 信,95.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,12.29,12.75,+3.74%,+3.99%,第15天,2025-09-16,15
2025-09-01,6,002199,*ST东晶,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.55,10.13,-3.98%,+5.88%,第14天,2025-09-16,15
2025-09-01,7,300354,东华测试,94.7%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,43.48,44.46,+2.25%,+3.93%,第0天,2025-09-16,15
2025-09-01,8,600986,浙文互联,94.6%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,9.3,8.74,-6.02%,+3.76%,第0天,2025-09-16,15
2025-09-01,9,002779,中坚科技,94.6%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,99.78,133.34,+33.63%,+35.30%,第14天,2025-09-16,15
2025-09-01,10,688316,青云科技-U,94.5%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,73.4,71.4,-2.72%,+4.74%,第0天,2025-09-16,15
2025-09-02,1,601608,中信重工,97.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.27,5.47,+3.80%,+4.55%,第15天,2025-09-17,15
2025-09-02,2,600510,黑牡丹,96.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,7.12,8.03,+12.78%,+20.65%,第10天,2025-09-17,15
2025-09-02,3,300247,融捷健康,95.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,4.46,4.58,+2.69%,+5.61%,第14天,2025-09-17,15
2025-09-02,4,301011,华立科技,95.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,28.88,28.73,-0.52%,+3.91%,第0天,2025-09-17,15
2025-09-02,5,001268,联合精密,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,34.89,34.26,-1.81%,+11.44%,第13天,2025-09-17,15
2025-09-02,6,300656,民德电子,95.2%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,25.84,25.48,-1.39%,+8.17%,第3天,2025-09-17,15
2025-09-02,7,600733,北汽蓝谷,95.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,8.59,8.58,-0.12%,+5.70%,第14天,2025-09-17,15
2025-09-02,8,688646,ST逸飞,95.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,30.69,32.23,+5.02%,+10.49%,第7天,2025-09-17,15
2025-09-02,9,000158,常山北明,94.8%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,24.44,24.4,-0.16%,+4.75%,第0天,2025-09-17,15
2025-09-02,10,300647,超频三,94.5%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,7.18,7.45,+3.76%,+4.87%,第15天,2025-09-17,15
2025-09-03,1,300792,壹网壹创,96.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,28.49,32.0,+12.32%,+20.39%,第14天,2025-09-18,15
2025-09-03,2,688580,伟思医疗,96.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,51.2,51.03,-0.33%,+7.03%,第5天,2025-09-18,15
2025-09-03,3,601608,中信重工,96.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.22,5.42,+3.83%,+8.05%,第15天,2025-09-18,15
2025-09-03,4,600864,哈投股份,96.3%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,7.34,7.28,-0.82%,+5.04%,第0天,2025-09-18,15
2025-09-03,5,301536,星宸科技,95.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,61.85,62.78,+1.50%,+5.89%,第15天,2025-09-18,15
