选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 +5% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,达到 +5% 天数,触发顺序,是否曾跌破成本价,行业,行业热度_买入日,行业热度_10pct 日,行业热度_5pct 日,行业热度_neg2pct 日,行业热度_neg4pct 日,行业热度_卖出日
2025-09-19,10,002047,*ST宝鹰,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,2.42,3.23,+33.47%,+33.47%,第45天,2025-11-03,45,2025-10-29,2025-10-28,2025-09-22,2025-09-23,第40天,第39天,"('neg2pct', 'neg4pct', '5pct', '10pct')",是,轻工制造,25.97,25.29,26.8,26.41,28.57,
2025-09-22,1,600389,江山股份,97.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,25.24,23.45,-7.09%,+8.87%,第22天,2025-11-06,45,-,2025-09-26,2025-09-23,2025-09-23,-,第4天,"('neg2pct', 'neg4pct', '5pct')",是,基础化工,62.59,,64.09,68.47,68.47,
2025-09-22,2,300285,国瓷材料,96.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,22.5,23.07,+2.53%,+15.96%,第18天,2025-11-06,45,2025-10-09,2025-10-09,2025-09-22,2025-09-23,第17天,第17天,"('neg2pct', 'neg4pct', '10pct', '5pct')",是,基础化工,62.59,70.02,70.02,62.59,68.47,
2025-09-22,3,600714,金瑞矿业,96.0%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,11.42,12.53,+9.72%,+12.26%,第22天,2025-11-06,45,2025-10-14,2025-10-09,2025-09-23,2025-09-23,第22天,第17天,"('neg2pct', 'neg4pct', '5pct', '10pct')",是,基础化工,62.59,69.97,70.02,68.47,68.47,
2025-09-22,4,688390,固德威,95.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,53.78,63.0,+17.14%,+22.93%,第38天,2025-11-06,45,2025-09-30,2025-09-24,2025-09-22,2025-10-23,第8天,第2天,"('neg2pct', '5pct', '10pct', 'neg4pct')",是,电力设备,66.22,79.0,79.51,66.22,68.69,
2025-09-22,5,300125,*ST聆达,95.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.92,10.59,+33.71%,+43.43%,第24天,2025-11-06,45,2025-09-30,2025-09-24,2025-09-22,-,第8天,第2天,"('neg2pct', '5pct', '10pct')",是,公用事业,28.03,30.62,31.28,28.03,,
2025-09-22,6,603520,司太立,95.7%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,11.16,10.5,-5.91%,+5.56%,第17天,2025-11-06,45,-,2025-10-09,2025-09-23,2025-09-23,-,第17天,"('neg2pct', 'neg4pct', '5pct')",是,医药生物,45.49,,46.66,51.12,51.12,
2025-09-22,7,688088,虹软科技,95.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,58.8,51.54,-12.35%,+7.45%,第17天,2025-11-06,45,-,2025-10-09,2025-09-22,2025-09-23,-,第17天,"('neg2pct', 'neg4pct', '5pct')",是,计算机,65.7,,68.62,65.7,69.26,
2025-09-22,8,300437,清水源,95.5%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,8.7,12.22,+40.46%,+40.46%,第45天,2025-11-06,45,2025-10-13,2025-10-10,2025-09-23,2025-09-23,第21天,第18天,"('neg2pct', 'neg4pct', '5pct', '10pct')",是,基础化工,62.59,67.95,66.14,68.47,68.47,
2025-09-22,9,002128,电投能源,95.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,22.29,26.89,+20.64%,+21.27%,第45天,2025-11-06,45,2025-10-16,2025-10-09,-,-,第24天,第17天,"('5pct', '10pct')",是,煤炭,15.89,33.1,38.23,,,
