选股日期,排名,代码,名称,相似度,匹配案例,匹配日期,类别,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数
2025-10-01,1,002681,奋达科技,94.9%,case_006,2025-08-04,bowl_center,匹配case_006,7.3,6.63,-9.18%,+1.78%,第0天,2025-10-30,30
2025-10-01,2,603201,常润股份,94.7%,case_004,2025-07-23,bowl_center,匹配case_004,18.873,17.083,-9.48%,+3.34%,第27天,2025-10-30,30
2025-10-01,3,000727,冠捷科技,94.6%,case_008,2025-07-10,bowl_center,匹配case_008,2.76,2.6,-5.80%,+2.17%,第9天,2025-10-30,30
2025-10-01,4,000810,创维数字,94.4%,case_002,2025-08-06,bowl_center,匹配case_002,13.55,13.26,-2.14%,+4.72%,第10天,2025-10-30,30
2025-10-01,5,688356,键凯科技,94.3%,case_002,2025-08-06,bowl_center,匹配case_002,94.45,91.51,-3.11%,+1.09%,第9天,2025-10-30,30
2025-10-01,6,300478,杭州高新,94.1%,case_004,2025-07-23,bowl_center,匹配case_004,24.92,25.85,+3.73%,+8.91%,第28天,2025-10-30,30
2025-10-01,7,003043,华亚智能,94.0%,case_004,2025-07-23,bowl_center,匹配case_004,51.53,49.6,-3.75%,+3.10%,第0天,2025-10-30,30
2025-10-01,8,603009,北特科技,93.8%,case_004,2025-07-23,bowl_center,匹配case_004,55.13,48.76,-11.55%,+2.96%,第0天,2025-10-30,30
2025-10-01,9,603926,铁流股份,93.7%,case_004,2025-07-23,bowl_center,匹配case_004,17.64,17.36,-1.59%,+3.29%,第10天,2025-10-30,30
2025-10-01,10,301606,绿联科技,93.7%,case_006,2025-08-04,bowl_center,匹配case_006,63.98,70.45,+10.11%,+17.19%,第29天,2025-10-30,30
2025-10-02,1,002681,奋达科技,94.9%,case_006,2025-08-04,bowl_center,匹配case_006,7.3,6.63,-9.18%,+1.78%,第0天,2025-10-30,30
2025-10-02,2,603201,常润股份,94.7%,case_004,2025-07-23,bowl_center,匹配case_004,18.873,17.083,-9.48%,+3.34%,第27天,2025-10-30,30
2025-10-02,3,000727,冠捷科技,94.6%,case_008,2025-07-10,bowl_center,匹配case_008,2.76,2.6,-5.80%,+2.17%,第9天,2025-10-30,30
2025-10-02,4,000810,创维数字,94.4%,case_002,2025-08-06,bowl_center,匹配case_002,13.55,13.26,-2.14%,+4.72%,第10天,2025-10-30,30
2025-10-02,5,688356,键凯科技,94.3%,case_002,2025-08-06,bowl_center,匹配case_002,94.45,91.51,-3.11%,+1.09%,第9天,2025-10-30,30
2025-10-02,6,300478,杭州高新,94.1%,case_004,2025-07-23,bowl_center,匹配case_004,24.92,25.85,+3.73%,+8.91%,第28天,2025-10-30,30
2025-10-02,7,003043,华亚智能,94.0%,case_004,2025-07-23,bowl_center,匹配case_004,51.53,49.6,-3.75%,+3.10%,第0天,2025-10-30,30
2025-10-02,8,603009,北特科技,93.8%,case_004,2025-07-23,bowl_center,匹配case_004,55.13,48.76,-11.55%,+2.96%,第0天,2025-10-30,30
