选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数
2025-10-09,1,603926,铁流股份,97.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,9.77,8.78,-10.13%,+2.25%,第4天,2023-08-28,30
2025-10-09,2,002681,奋达科技,95.8%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,4.89,4.48,-8.38%,+6.13%,第11天,2023-08-28,30
2025-10-09,3,605136,丽人丽妆,95.8%,case_001 (华纳药厂),杯型整理+缩量+J值低位,2025-05-12,科创板,匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位,11.584,10.444,-9.84%,+6.30%,第5天,2023-08-28,30
2025-10-09,4,000810,创维数字,95.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,15.252,12.792,-16.13%,+0.26%,第0天,2023-08-28,30
2025-10-09,5,600228,*ST返利,94.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,9.33,7.99,-14.36%,+5.68%,第12天,2023-08-25,30
2025-10-09,6,001306,夏厦精密,94.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,109.52,92.63,-15.42%,+16.89%,第4天,2023-12-18,30
2025-10-09,7,002555,三七互娱,94.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,23.466,22.696,-3.28%,+10.40%,第11天,2023-08-28,30
2025-10-09,8,605319,无锡振华,94.1%,case_009 (新瀚新材),缩量后放量+价格接近短期趋势线+J值中位,2025-08-01,创业板,匹配case_009: 新瀚新材 - 缩量后放量+价格接近短期趋势线+J值中位,11.136,9.921,-10.91%,+3.39%,第26天,2023-08-28,30
2025-10-09,9,300457,赢合科技,93.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,26.592,30.361,+14.17%,+22.63%,第32天,2023-08-28,30
2025-10-09,10,603196,日播时尚,93.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,20.738,18.908,-8.82%,+10.70%,第19天,2023-08-14,30
2025-10-10,1,603926,铁流股份,97.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,9.77,8.78,-10.13%,+2.25%,第4天,2023-08-28,30
2025-10-10,2,002886,沃特股份,96.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,17.861,16.631,-6.89%,+11.93%,第5天,2023-08-28,30
2025-10-10,3,603298,杭叉集团,95.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,16.036,15.036,-6.24%,+9.67%,第11天,2023-08-28,30
2025-10-10,4,605136,丽人丽妆,94.8%,case_001 (华纳药厂),杯型整理+缩量+J值低位,2025-05-12,科创板,匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位,11.584,10.444,-9.84%,+6.30%,第5天,2023-08-28,30
2025-10-10,5,300521,爱司凯,94.4%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,13.29,11.82,-11.06%,+2.78%,第0天,2023-08-28,30
2025-10-10,6,603266,天龙股份,94.1%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,13.64,12.62,-7.48%,+3.67%,第4天,2023-08-28,30
2025-10-10,7,002164,宁波东力,94.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.87,5.4,-8.01%,+2.56%,第0天,2023-08-28,30
2025-10-10,8,603912,佳力图,93.8%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,9.16,8.37,-8.62%,+3.71%,第12天,2023-08-28,30
2025-10-10,9,600228,*ST返利,93.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,9.33,7.99,-14.36%,+5.68%,第12天,2023-08-25,30
2025-10-10,10,002664,信质集团,93.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,13.7,12.88,-5.99%,+12.92%,第12天,2023-08-28,30
2025-10-13,1,603683,晶华新材,96.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.955,9.965,-9.04%,+2.10%,第0天,2023-08-28,30
2025-10-13,2,002920,德赛西威,94.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,154.56,135.62,-12.25%,+7.55%,第11天,2023-08-28,30
2025-10-13,3,688237,超卓航科,93.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,43.79,43.33,-1.05%,+8.91%,第12天,2023-08-21,30
2025-10-13,4,301029,怡合达,93.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,37.73,33.75,-10.55%,+5.33%,第6天,2023-08-28,30
2025-10-13,5,603266,天龙股份,93.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,13.64,12.62,-7.48%,+3.67%,第4天,2023-08-28,30
