选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 +5% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,达到 +5% 天数,触发顺序,是否曾跌破成本价,行业,行业热度_买入日,行业热度_10pct 日,行业热度_5pct 日,行业热度_neg2pct 日,行业热度_neg4pct 日,行业热度_卖出日
2026-03-02,1,688169,石头科技,96.0%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,138.72,131.2,-5.42%,+2.12%,第0天,2026-03-09,5,-,-,2026-03-03,2026-03-04,-,-,"('neg2pct', 'neg4pct')",是,机械,22.1,,,22.09,22.01,22.04
2026-03-02,2,603259,药明康德,95.4%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,96.04,91.1,-5.14%,+2.42%,第0天,2026-03-09,5,-,-,2026-03-03,2026-03-04,-,-,"('neg2pct', 'neg4pct')",是,医药,22.73,,,22.86,25.68,23.66
2026-03-02,3,001221,悍高集团,95.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,69.5,64.41,-7.32%,+1.24%,第0天,2026-03-09,5,-,-,2026-03-03,2026-03-04,-,-,"('neg2pct', 'neg4pct')",是,未知,,,,,,
2026-03-02,4,600234,科新发展,94.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,13.84,13.59,-1.81%,+2.96%,第0天,2026-03-09,5,-,-,2026-03-02,2026-03-04,-,-,"('neg2pct', 'neg4pct')",是,未知,,,,,,
2026-03-02,5,600325,华发股份,94.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,4.29,4.04,-5.83%,+1.40%,第0天,2026-03-09,5,-,-,2026-03-03,2026-03-03,-,-,"('neg2pct', 'neg4pct')",是,未知,,,,,,
2026-03-03,1,300338,ST开元,95.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,3.81,4.0,+4.99%,+6.04%,第3天,2026-03-09,5,-,2026-03-06,2026-03-04,-,-,第3天,"('neg2pct', '5pct')",是,未知,,,,,,
2026-03-03,2,603259,药明康德,95.2%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,93.75,91.1,-2.83%,+4.48%,第0天,2026-03-09,5,-,-,2026-03-04,2026-03-09,-,-,"('neg2pct', 'neg4pct')",是,医药,22.86,,,25.68,23.66,23.66
2026-03-03,3,603319,美湖股份,95.0%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,35.49,34.8,-1.94%,+3.69%,第0天,2026-03-09,5,-,-,2026-03-09,-,-,-,-,是,未知,,,,,,
2026-03-03,4,603173,福斯达,94.9%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,46.1,43.04,-6.64%,+6.94%,第0天,2026-03-09,5,-,2026-03-03,2026-03-05,2026-03-09,-,第0天,"('5pct', 'neg2pct', 'neg4pct')",是,未知,,,,,,
2026-03-03,5,688671,碧兴物联,94.7%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,22.62,22.76,+0.62%,+4.07%,第0天,2026-03-09,5,-,-,2026-03-04,-,-,-,-,是,未知,,,,,,
2026-03-05,1,603173,福斯达,96.2%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,45.45,44.22,-2.71%,+4.00%,第0天,2026-03-10,5,-,-,2026-03-09,2026-03-09,-,-,"('neg2pct', 'neg4pct')",是,未知,,,,,,
2026-03-05,2,601717,中创智领,95.6%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,22.74,22.89,+0.66%,+2.73%,第0天,2026-03-10,5,-,-,2026-03-09,-,-,-,-,是,未知,,,,,,
