选股日期,排名,代码,名称,相似度,匹配案例,匹配日期,类别,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数
2025-10-14,4,603926,铁流股份,94.0%,case_002,2025-08-06,bowl_center,匹配case_002,9.77,18.5,+89.36%,+188.64%,第924天,2026-03-20,30
2025-10-14,5,603216,梦天家居,94.0%,case_002,2025-08-06,bowl_center,匹配case_002,12.79,33.62,+162.86%,+360.05%,第922天,2026-03-20,30
2025-10-14,6,603486,科沃斯,93.8%,case_006,2025-08-04,bowl_center,匹配case_006,72.916,61.24,-16.01%,+53.18%,第784天,2026-03-20,30
2025-10-14,7,301479,弘景光电,93.6%,case_006,2025-08-04,bowl_center,匹配case_006,113.264,72.114,-36.33%,+5.56%,第0天,2025-04-17,30
2025-10-14,8,688230,芯导科技,93.5%,case_004,2025-07-23,bowl_center,匹配case_004,41.19,62.97,+52.88%,+116.68%,第796天,2026-03-20,30
2025-10-14,9,688328,深科达,93.4%,case_004,2025-07-23,bowl_center,匹配case_004,25.23,38.75,+53.59%,+98.77%,第965天,2026-03-20,30
2025-10-14,10,301046,能辉科技,93.4%,case_004,2025-07-23,bowl_center,匹配case_004,29.5,26.2,-11.19%,+14.81%,第868天,2026-03-20,30
2025-10-15,1,603216,梦天家居,96.5%,case_002,2025-08-06,bowl_center,匹配case_002,12.79,33.62,+162.86%,+360.05%,第922天,2026-03-20,30
2025-10-15,2,600176,中国巨石,95.8%,case_002,2025-08-06,bowl_center,匹配case_002,13.875,22.65,+63.24%,+108.22%,第950天,2026-03-20,30
2025-10-15,3,603918,金桥信息,95.5%,case_006,2025-08-04,bowl_center,匹配case_006,27.96,13.87,-50.39%,+17.10%,第34天,2026-03-20,30
2025-10-15,4,000069,华侨城Ａ,95.3%,case_004,2025-07-23,bowl_center,匹配case_004,4.69,2.29,-51.17%,+7.04%,第8天,2026-03-20,30
2025-10-15,5,002244,滨江集团,94.9%,case_004,2025-07-23,bowl_center,匹配case_004,9.558,10.2,+6.72%,+33.92%,第796天,2026-03-20,30
2025-10-15,6,000892,欢瑞世纪,94.8%,case_002,2025-08-06,bowl_center,匹配case_002,4.18,6.0,+43.54%,+136.12%,第930天,2026-03-20,30
2025-10-15,7,688237,超卓航科,94.2%,case_002,2025-08-06,bowl_center,匹配case_002,43.79,48.7,+11.21%,+42.68%,第830天,2026-03-20,30
2025-10-15,8,688127,蓝特光学,94.2%,case_006,2025-08-04,bowl_center,匹配case_006,15.54,60.04,+286.36%,+324.07%,第958天,2026-03-20,30
2025-10-15,9,688779,五矿新能,94.1%,case_002,2025-08-06,bowl_center,匹配case_002,10.87,10.76,-1.01%,+17.57%,第958天,2026-03-20,30
2025-10-15,10,000810,创维数字,94.1%,case_002,2025-08-06,bowl_center,匹配case_002,15.252,10.8,-29.19%,+19.20%,第518天,2026-03-20,30
