选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,触发顺序
2025-07-21,7,603823,百合花,93.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,13.53,14.56,+7.61%,+19.96%,第43天,2025-09-04,45,2025-08-26,2025-07-25,2025-07-25,第36天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-21,8,300917,特发服务,93.6%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,44.44,45.09,+1.46%,+16.94%,第35天,2025-09-04,45,2025-07-29,2025-07-31,-,第8天,"('10pct', 'neg2pct')"
2025-07-21,9,600476,湘邮科技,93.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,18.9,17.02,-9.95%,+4.39%,第31天,2025-09-04,45,-,2025-07-22,2025-07-23,-,"('neg2pct', 'neg4pct')"
2025-07-21,10,300531,优博讯,93.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,20.19,18.75,-7.13%,+17.24%,第36天,2025-09-04,45,2025-08-26,2025-07-23,2025-07-30,第36天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-18,1,300317,珈伟新能,95.7%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,4.23,4.14,-2.13%,+4.49%,第33天,2025-09-01,45,-,2025-07-23,2025-07-31,-,"('neg2pct', 'neg4pct')"
2025-07-18,2,002227,奥 特 迅,95.7%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,13.79,13.37,-3.05%,+8.27%,第39天,2025-09-01,45,-,2025-07-24,2025-07-30,-,"('neg2pct', 'neg4pct')"
2025-07-18,3,000530,冰山冷热,95.7%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,6.49,6.44,-0.77%,+9.86%,第24天,2025-09-01,45,-,2025-07-29,2025-08-01,-,"('neg2pct', 'neg4pct')"
2025-07-18,4,603980,吉华集团,95.6%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.47,5.29,-3.29%,+16.45%,第6天,2025-09-01,45,2025-07-21,2025-08-28,2025-08-28,第3天,"('10pct', 'neg2pct', 'neg4pct')"
2025-07-18,5,000553,安道麦A,95.0%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,6.83,7.01,+2.64%,+10.10%,第7天,2025-09-01,45,2025-07-25,2025-08-28,-,第7天,"('10pct', 'neg2pct')"
2025-07-18,6,000899,赣能股份,94.7%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,9.57,9.76,+1.99%,+3.55%,第40天,2025-09-01,45,-,2025-07-23,2025-07-29,-,"('neg2pct', 'neg4pct')"
