选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,触发顺序
2025-07-28,8,300211,*ST亿通,93.7%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,7.03,9.99,+42.11%,+63.87%,第29天,2025-09-11,45,2025-08-06,2025-07-30,-,第9天,"('neg2pct', '10pct')"
2025-07-28,9,300827,上能电气,93.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,23.21,33.8,+45.63%,+65.14%,第43天,2025-09-11,45,2025-09-02,2025-07-31,-,第36天,"('neg2pct', '10pct')"
2025-07-28,10,601100,恒立液压,93.7%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,74.79,89.45,+19.60%,+27.42%,第37天,2025-09-11,45,2025-08-19,2025-07-31,-,第22天,"('neg2pct', '10pct')"
2025-07-29,1,601609,金田股份,96.1%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,8.1,12.39,+52.96%,+82.10%,第22天,2025-09-12,45,2025-08-13,2025-07-30,2025-08-01,第15天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-29,2,002315,焦点科技,95.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,51.13,47.43,-7.24%,+11.23%,第6天,2025-09-12,45,2025-08-01,2025-07-30,2025-08-15,第3天,"('neg2pct', '10pct', 'neg4pct')"
2025-07-29,3,603013,亚普股份,95.1%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,21.18,24.45,+15.44%,+23.84%,第42天,2025-09-12,45,2025-08-20,2025-07-30,2025-07-31,第22天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-29,4,300044,ST赛为,94.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,4.16,4.45,+6.97%,+10.58%,第29天,2025-09-12,45,2025-08-22,2025-07-30,-,第24天,"('neg2pct', '10pct')"
2025-07-29,5,601100,恒立液压,94.7%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,75.5,86.06,+13.99%,+26.23%,第36天,2025-09-12,45,2025-08-19,2025-07-31,2025-08-01,第21天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-29,6,603863,松炀资源,94.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,15.39,22.21,+44.31%,+50.49%,第45天,2025-09-12,45,2025-08-01,-,-,第3天,-
2025-07-29,7,001208,华菱线缆,94.4%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,12.05,12.68,+5.23%,+9.63%,第9天,2025-09-12,45,-,2025-07-31,2025-08-28,-,"('neg2pct', 'neg4pct')"
2025-07-29,8,000953,河化股份,94.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.29,7.73,+6.04%,+19.89%,第9天,2025-09-12,45,2025-07-30,2025-08-28,2025-09-05,第1天,"('10pct', 'neg2pct', 'neg4pct')"
2025-07-29,9,300738,奥飞数据,94.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,21.23,22.45,+5.75%,+18.79%,第29天,2025-09-12,45,2025-08-25,2025-07-29,2025-08-01,第27天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-29,10,301000,肇民科技,93.6%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,43.98,53.26,+21.10%,+32.79%,第45天,2025-09-12,45,2025-08-06,2025-07-30,2025-09-04,第8天,"('neg2pct', '10pct', 'neg4pct')"
2025-07-30,1,603013,亚普股份,95.8%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,20.73,23.79,+14.76%,+26.53%,第41天,2025-09-15,45,2025-08-20,2025-07-31,2025-08-04,第21天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-30,2,002600,领益智造,95.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,8.96,14.65,+63.50%,+81.25%,第29天,2025-09-15,45,2025-08-07,-,-,第8天,-
2025-07-30,3,300100,双林股份,95.5%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,44.18,45.4,+2.76%,+18.04%,第26天,2025-09-15,45,2025-08-06,2025-08-04,-,第7天,"('neg2pct', '10pct')"
2025-07-30,4,600281,华阳新材,95.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.03,6.49,-7.68%,+6.54%,第21天,2025-09-15,45,-,2025-07-30,2025-08-01,-,"('neg2pct', 'neg4pct')"
2025-07-30,5,601100,恒立液压,95.1%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,74.9,90.7,+21.09%,+27.24%,第35天,2025-09-15,45,2025-08-19,2025-07-31,-,第20天,"('neg2pct', '10pct')"
2025-07-30,6,301000,肇民科技,95.0%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,43.36,52.57,+21.24%,+34.69%,第44天,2025-09-15,45,2025-08-06,2025-08-01,-,第7天,"('neg2pct', '10pct')"
2025-07-30,7,002683,广东宏大,94.9%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,35.882,36.972,+3.04%,+5.96%,第7天,2025-09-15,45,-,2025-08-01,2025-08-14,-,"('neg2pct', 'neg4pct')"
2025-07-30,8,600390,五矿资本,94.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,6.114,6.004,-1.80%,+8.83%,第20天,2025-09-15,45,-,2025-07-31,-,-,-
2025-07-30,9,000506,招金黄金,94.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.24,10.13,-1.07%,+9.57%,第41天,2025-09-15,45,-,2025-07-31,2025-08-19,-,"('neg2pct', 'neg4pct')"
2025-07-30,10,301003,江苏博云,94.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,31.88,37.02,+16.12%,+24.34%,第23天,2025-09-15,45,2025-08-13,2025-07-31,-,第14天,"('neg2pct', '10pct')"
2025-07-31,1,301076,新瀚新材,100.0%,case_009 (新瀚新材),缩量后放量+价格接近短期趋势线+J值中位,2025-08-01,创业板,匹配case_009: 新瀚新材 - 缩量后放量+价格接近短期趋势线+J值中位,29.75,62.18,+109.01%,+120.00%,第40天,2025-09-15,45,2025-08-05,-,-,第5天,-
2025-07-31,2,603308,应流股份,97.5%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,26.2,30.67,+17.06%,+24.58%,第43天,2025-09-15,45,2025-08-18,2025-08-01,-,第18天,"('neg2pct', '10pct')"
2025-07-31,3,002444,巨星科技,96.6%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,30.86,31.63,+2.50%,+19.25%,第15天,2025-09-15,45,2025-08-14,2025-08-28,-,第14天,"('10pct', 'neg2pct')"
2025-07-31,4,300004,南风股份,96.3%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,8.52,15.11,+77.35%,+77.35%,第46天,2025-09-15,45,2025-08-18,2025-08-14,2025-08-14,第18天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-31,5,688069,德林海,95.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,22.557,22.367,-0.84%,+14.98%,第11天,2025-09-15,45,2025-08-05,2025-08-28,2025-09-01,第5天,"('10pct', 'neg2pct', 'neg4pct')"
2025-07-31,6,300018,中元股份,95.5%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,8.25,8.31,+0.73%,+16.36%,第25天,2025-09-15,45,2025-08-22,2025-09-04,-,第22天,"('10pct', 'neg2pct')"
2025-07-31,7,600095,湘财股份,95.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,10.88,11.4,+4.78%,+23.16%,第27天,2025-09-15,45,2025-08-15,2025-08-04,2025-08-04,第15天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-31,8,300698,万马科技,95.2%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,42.41,47.0,+10.82%,+21.41%,第18天,2025-09-15,45,2025-08-05,-,-,第5天,-
2025-07-31,9,603013,亚普股份,94.9%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,20.23,23.79,+17.60%,+29.66%,第40天,2025-09-15,45,2025-08-07,-,-,第7天,-
2025-07-31,10,300066,三川智慧,94.8%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,5.97,6.92,+15.91%,+57.62%,第25天,2025-09-15,45,2025-08-07,2025-08-01,2025-08-04,第7天,"('neg2pct', 'neg4pct', '10pct')"
2025-08-01,1,002074,国轩高科,100.0%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,28.78,45.96,+59.69%,+73.14%,第42天,2025-09-15,45,2025-08-19,-,-,第18天,-
2025-08-01,2,000758,中色股份,96.1%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,5.91,6.87,+16.24%,+23.01%,第31天,2025-09-15,45,2025-08-25,-,-,第24天,-
2025-08-01,3,688059,华锐精密,96.0%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,54.23,73.06,+34.72%,+42.50%,第42天,2025-09-15,45,2025-08-04,-,-,第3天,-
2025-08-01,4,600740,山西焦化,95.9%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,3.93,4.03,+2.54%,+8.14%,第25天,2025-09-15,45,-,2025-09-03,-,-,-
2025-08-01,5,301076,新瀚新材,95.8%,case_009 (新瀚新材),缩量后放量+价格接近短期趋势线+J值中位,2025-08-01,创业板,匹配case_009: 新瀚新材 - 缩量后放量+价格接近短期趋势线+J值中位,29.65,62.18,+109.71%,+120.74%,第39天,2025-09-15,45,2025-08-05,-,-,第4天,-
2025-08-01,6,603308,应流股份,95.8%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,25.82,30.67,+18.78%,+26.41%,第42天,2025-09-15,45,2025-08-15,-,-,第14天,-
2025-08-01,7,600751,海航科技,95.7%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,3.84,4.44,+15.63%,+27.08%,第17天,2025-09-15,45,2025-08-05,-,-,第4天,-
2025-08-01,8,002990,盛视科技,95.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,31.8,30.18,-5.09%,+6.04%,第24天,2025-09-15,45,-,2025-08-08,2025-08-13,-,"('neg2pct', 'neg4pct')"
2025-08-01,9,002842,翔鹭钨业,95.0%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,8.96,11.52,+28.57%,+51.00%,第28天,2025-09-15,45,2025-08-13,-,-,第12天,-
2025-08-01,10,000422,湖北宜化,94.6%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,13.41,14.66,+9.32%,+14.77%,第40天,2025-09-15,45,2025-09-09,2025-08-04,-,第39天,"('neg2pct', '10pct')"
2025-08-04,1,002229,鸿博股份,96.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,18.41,18.0,-2.23%,+30.36%,第24天,2025-09-18,45,2025-08-14,2025-08-04,2025-09-04,第10天,"('neg2pct', '10pct', 'neg4pct')"
2025-08-04,2,600740,山西焦化,96.2%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,3.94,4.01,+1.78%,+7.87%,第22天,2025-09-18,45,-,2025-09-03,-,-,-
2025-08-04,3,002192,融捷股份,95.4%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,34.8,34.96,+0.46%,+13.48%,第7天,2025-09-18,45,2025-08-11,2025-08-28,-,第7天,"('10pct', 'neg2pct')"
2025-08-04,4,600366,宁波韵升,95.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,11.71,14.65,+25.11%,+57.56%,第14天,2025-09-18,45,2025-08-07,-,-,第3天,-
2025-08-04,5,300803,指南针,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,87.13,158.9,+82.37%,+105.36%,第44天,2025-09-18,45,2025-08-13,-,-,第9天,-
2025-08-04,6,300291,百纳千成,95.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,6.18,6.47,+4.69%,+19.09%,第14天,2025-09-18,45,2025-08-18,2025-08-04,-,第14天,"('neg2pct', '10pct')"
2025-08-04,7,000758,中色股份,94.6%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,5.89,6.41,+8.83%,+23.43%,第28天,2025-09-18,45,2025-08-25,-,-,第21天,-
2025-08-04,8,301225,恒勃股份,94.6%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,80.08,96.15,+20.07%,+36.50%,第45天,2025-09-18,45,2025-08-07,2025-08-04,2025-08-04,第3天,"('neg2pct', 'neg4pct', '10pct')"
2025-08-04,9,603399,永杉锂业,94.5%,case_009 (新瀚新材),缩量后放量+价格接近短期趋势线+J值中位,2025-08-01,创业板,匹配case_009: 新瀚新材 - 缩量后放量+价格接近短期趋势线+J值中位,10.0,9.67,-3.30%,+13.40%,第7天,2025-09-18,45,2025-08-11,2025-08-07,2025-08-28,第7天,"('neg2pct', '10pct', 'neg4pct')"
2025-08-04,10,600596,新安股份,94.4%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,9.87,10.66,+8.00%,+18.14%,第28天,2025-09-18,45,2025-08-26,2025-08-14,-,第22天,"('neg2pct', '10pct')"
2025-08-05,1,600366,宁波韵升,100.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,11.76,14.35,+22.02%,+56.89%,第13天,2025-09-19,45,2025-08-07,-,-,第2天,-
2025-08-05,2,000617,中油资本,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,8.435,10.555,+25.13%,+61.65%,第27天,2025-09-19,45,2025-08-19,2025-08-05,-,第14天,"('neg2pct', '10pct')"
2025-08-05,3,300757,罗博特科,94.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,171.945,278.68,+62.08%,+78.36%,第44天,2025-09-19,45,2025-08-13,2025-08-08,2025-08-12,第8天,"('neg2pct', 'neg4pct', '10pct')"
2025-08-05,4,688319,欧林生物,94.1%,case_009 (新瀚新材),缩量后放量+价格接近短期趋势线+J值中位,2025-08-01,创业板,匹配case_009: 新瀚新材 - 缩量后放量+价格接近短期趋势线+J值中位,20.98,26.8,+27.74%,+65.30%,第16天,2025-09-19,45,2025-08-13,2025-08-07,2025-08-12,第8天,"('neg2pct', 'neg4pct', '10pct')"
2025-08-05,5,002852,道道全,93.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,11.254,10.96,-2.61%,+12.80%,第6天,2025-09-19,45,2025-08-11,2025-08-28,-,第6天,"('10pct', 'neg2pct')"
2025-08-05,6,600031,三一重工,93.9%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,19.332,21.582,+11.64%,+12.21%,第22天,2025-09-19,45,2025-08-22,-,-,第17天,-
2025-08-05,7,300291,百纳千成,93.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,6.17,6.62,+7.29%,+19.29%,第13天,2025-09-19,45,2025-08-18,2025-09-04,-,第13天,"('10pct', 'neg2pct')"
2025-08-05,8,603496,恒为科技,93.9%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,28.145,35.475,+26.04%,+26.04%,第56天,2025-09-30,45,2025-08-19,2025-09-04,2025-09-04,第14天,"('10pct', 'neg2pct', 'neg4pct')"
2025-08-05,9,600537,亿晶光电,93.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,3.72,4.16,+11.83%,+23.12%,第44天,2025-09-19,45,2025-08-20,2025-08-06,2025-08-12,第15天,"('neg2pct', 'neg4pct', '10pct')"
2025-08-05,10,001359,平安电工,93.6%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,49.43,52.57,+6.35%,+24.62%,第21天,2025-09-19,45,2025-08-18,2025-08-06,2025-08-07,第13天,"('neg2pct', 'neg4pct', '10pct')"
2025-08-06,1,301331,恩威医药,95.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,35.894,33.644,-6.27%,+9.53%,第19天,2025-09-22,45,-,2025-08-14,2025-08-15,-,"('neg2pct', 'neg4pct')"
2025-08-06,2,300811,铂科新材,95.1%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,55.7,77.2,+38.60%,+48.11%,第27天,2025-09-22,45,2025-08-13,2025-08-08,-,第7天,"('neg2pct', '10pct')"
2025-08-06,3,000717,中南股份,94.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,2.97,2.81,-5.39%,+2.02%,第0天,2025-09-22,45,-,2025-08-07,2025-08-14,-,"('neg2pct', 'neg4pct')"
2025-08-06,4,688382,益方生物-U,94.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,43.2,33.71,-21.97%,+5.32%,第29天,2025-09-22,45,-,2025-08-07,2025-08-08,-,"('neg2pct', 'neg4pct')"
2025-08-06,5,000513,丽珠集团,94.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,40.66,38.73,-4.75%,+4.72%,第27天,2025-09-22,45,-,2025-08-13,2025-09-11,-,"('neg2pct', 'neg4pct')"
2025-08-06,6,002629,仁智股份,94.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,7.53,7.64,+1.46%,+5.58%,第2天,2025-09-22,45,-,2025-08-07,2025-08-14,-,"('neg2pct', 'neg4pct')"
2025-08-06,7,601005,重庆钢铁,93.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,1.54,1.53,-0.65%,+6.49%,第43天,2025-09-22,45,-,2025-08-07,2025-08-15,-,"('neg2pct', 'neg4pct')"
2025-08-06,8,002916,深南电路,93.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,134.84,214.8,+59.30%,+59.45%,第47天,2025-09-22,45,2025-08-13,2025-08-08,-,第7天,"('neg2pct', '10pct')"
2025-08-06,9,002320,海峡股份,93.6%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,7.69,9.37,+21.85%,+26.79%,第43天,2025-09-22,45,2025-08-19,-,-,第13天,-
2025-08-06,10,600366,宁波韵升,93.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,11.97,14.43,+20.55%,+54.14%,第12天,2025-09-22,45,2025-08-07,2025-08-06,-,第1天,"('neg2pct', '10pct')"
2025-08-07,1,688158,优刻得-W,96.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,25.38,26.49,+4.37%,+19.35%,第20天,2025-09-22,45,2025-08-13,2025-08-08,2025-08-08,第6天,"('neg2pct', 'neg4pct', '10pct')"
2025-08-07,2,000717,中南股份,96.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,2.94,2.81,-4.42%,+2.38%,第4天,2025-09-22,45,-,2025-08-07,2025-08-15,-,"('neg2pct', 'neg4pct')"
2025-08-07,3,600438,通威股份,96.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,20.14,21.28,+5.66%,+21.65%,第29天,2025-09-22,45,2025-08-29,2025-08-14,-,第22天,"('neg2pct', '10pct')"
2025-08-07,4,688307,中润光学,95.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,37.66,35.92,-4.62%,+5.28%,第6天,2025-09-22,45,-,2025-08-08,2025-08-08,-,"('neg2pct', 'neg4pct')"
2025-08-07,5,002916,深南电路,95.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,134.49,214.8,+59.71%,+59.86%,第46天,2025-09-22,45,2025-08-13,-,-,第6天,-
2025-08-07,6,002459,晶澳科技,95.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,11.03,12.39,+12.33%,+29.65%,第32天,2025-09-22,45,2025-08-18,2025-08-14,-,第11天,"('neg2pct', '10pct')"
2025-08-07,7,600866,星湖科技,95.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,7.93,7.37,-7.06%,+7.82%,第20天,2025-09-22,45,-,2025-09-02,2025-09-04,-,"('neg2pct', 'neg4pct')"
2025-08-07,8,601208,东材科技,95.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,16.04,22.68,+41.40%,+44.01%,第46天,2025-09-22,45,2025-08-13,2025-08-07,-,第6天,"('neg2pct', '10pct')"
2025-08-07,9,600379,宝光股份,95.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,13.126,12.766,-2.74%,+7.85%,第43天,2025-09-22,45,-,2025-08-21,2025-08-22,-,"('neg2pct', 'neg4pct')"
2025-08-07,10,600602,云赛智联,95.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,22.23,20.98,-5.62%,+11.02%,第20天,2025-09-22,45,2025-08-27,2025-08-08,2025-09-03,第20天,"('neg2pct', '10pct', 'neg4pct')"
2025-08-11,1,688316,青云科技-U,95.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,76.55,71.08,-7.15%,+12.32%,第14天,2025-09-25,45,2025-08-13,2025-08-11,2025-08-12,第2天,"('neg2pct', 'neg4pct', '10pct')"
