选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数
2025-07-01,1,301188,力诺药包,95.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,21.78,18.86,-13.41%,+18.32%,第44天,2025-09-01,60
2025-07-01,2,000518,*ST四环,94.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,2.54,2.31,-9.06%,+3.15%,第3天,2025-09-01,60
2025-07-01,3,603036,如通股份,93.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,16.96,22.0,+29.72%,+32.96%,第62天,2025-09-01,60
2025-07-01,4,000669,ST金鸿,93.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,2.6,3.23,+24.23%,+41.54%,第44天,2025-09-01,60
2025-07-01,5,300475,香农芯创,93.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,35.045,46.865,+33.73%,+36.47%,第62天,2025-09-01,60
2025-07-01,6,603657,春光科技,93.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,33.58,39.75,+18.37%,+42.88%,第55天,2025-09-01,60
2025-07-01,7,000766,通化金马,92.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,25.35,23.85,-5.92%,+2.37%,第1天,2025-09-01,60
2025-07-01,8,301567,贝隆精密,92.4%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,42.55,42.88,+0.78%,+7.99%,第51天,2025-09-01,60
2025-07-01,9,603353,和顺石油,92.3%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,16.58,16.45,-0.78%,+7.06%,第52天,2025-09-01,60
2025-07-01,10,600568,ST中珠,91.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,1.66,1.87,+12.65%,+17.47%,第43天,2025-09-01,60
