选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,触发顺序,是否曾跌破成本价,行业,行业热度_买入日,行业热度_10pct 日,行业热度_neg2pct 日,行业热度_neg4pct 日,行业热度_卖出日
2025-09-01,1,600595,中孚实业,96.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.27,5.46,+3.61%,+10.25%,第11天,2025-10-09,30,2025-09-12,2025-09-02,2025-09-02,第11天,"('neg2pct', 'neg4pct', '10pct')",是,未知,,,,,
2025-09-01,2,001268,联合精密,96.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,35.33,31.46,-10.95%,+10.05%,第14天,2025-10-09,30,2025-09-15,2025-09-02,2025-09-02,第14天,"('neg2pct', 'neg4pct', '10pct')",是,化工,25.24,,25.25,25.25,
2025-09-01,3,300247,融捷健康,95.6%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,4.5,4.09,-9.11%,+4.67%,第15天,2025-10-09,30,-,2025-09-02,2025-09-04,-,"('neg2pct', 'neg4pct')",是,新能源,25.35,,25.87,30.69,
2025-09-01,4,301119,正强股份,95.5%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,37.3,37.89,+1.58%,+15.28%,第16天,2025-10-09,30,2025-09-17,2025-09-02,2025-09-02,第16天,"('neg2pct', 'neg4pct', '10pct')",是,未知,,,,,
2025-09-01,5,002215,诺 普 信,95.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,12.29,12.55,+2.12%,+11.64%,第17天,2025-10-09,30,2025-09-18,2025-09-02,2025-09-02,第17天,"('neg2pct', 'neg4pct', '10pct')",是,未知,,,,,
2025-09-01,6,002199,*ST东晶,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.55,10.49,-0.57%,+5.88%,第14天,2025-10-09,30,-,2025-09-02,2025-09-02,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-01,7,300354,东华测试,94.7%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,43.48,48.46,+11.45%,+29.25%,第24天,2025-10-09,30,2025-09-18,2025-09-02,2025-09-02,第17天,"('neg2pct', 'neg4pct', '10pct')",是,未知,,,,,
2025-09-01,8,600986,浙文互联,94.6%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,9.3,7.95,-14.52%,+3.76%,第0天,2025-10-09,30,-,2025-09-02,2025-09-02,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-01,9,002779,中坚科技,94.6%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,99.78,137.31,+37.61%,+46.32%,第16天,2025-10-09,30,2025-09-05,2025-09-02,2025-09-02,第4天,"('neg2pct', 'neg4pct', '10pct')",是,化工,25.24,25.79,25.25,25.25,
2025-09-01,10,688316,青云科技-U,94.5%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,73.4,66.52,-9.37%,+4.74%,第0天,2025-10-09,30,-,2025-09-02,2025-09-02,-,"('neg2pct', 'neg4pct')",是,计算机,80.0,,80.0,80.0,
