选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,触发顺序,是否曾跌破成本价,行业,行业热度_买入日,行业热度_10pct 日,行业热度_neg2pct 日,行业热度_neg4pct 日,行业热度_卖出日
2025-09-02,1,601608,中信重工,97.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.27,5.69,+7.97%,+8.16%,第37天,2025-10-09,30,-,2025-09-02,2025-09-04,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-02,2,600510,黑牡丹,96.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,7.12,7.57,+6.32%,+20.65%,第10天,2025-10-09,30,2025-09-11,2025-09-03,2025-09-03,第9天,"('neg2pct', 'neg4pct', '10pct')",是,未知,,,,,
2025-09-02,3,300247,融捷健康,95.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,4.46,4.09,-8.30%,+5.61%,第14天,2025-10-09,30,-,2025-09-02,2025-09-04,-,"('neg2pct', 'neg4pct')",是,新能源,25.87,,25.87,30.69,
2025-09-02,4,301011,华立科技,95.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,28.88,28.17,-2.46%,+8.93%,第22天,2025-10-09,30,-,2025-09-03,2025-09-03,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-02,5,001268,联合精密,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,34.89,31.46,-9.83%,+11.44%,第13天,2025-10-09,30,2025-09-15,2025-09-02,2025-09-04,第13天,"('neg2pct', 'neg4pct', '10pct')",是,化工,25.25,,25.25,25.32,
2025-09-02,6,300656,民德电子,95.2%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,25.84,25.22,-2.40%,+8.17%,第3天,2025-10-09,30,-,2025-09-03,2025-09-04,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-02,7,600733,北汽蓝谷,95.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,8.59,7.99,-6.98%,+5.70%,第14天,2025-10-09,30,-,2025-09-03,2025-09-04,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-02,8,688646,ST逸飞,95.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,30.69,32.32,+5.31%,+10.49%,第7天,2025-10-09,30,2025-09-09,2025-09-04,2025-09-04,第7天,"('neg2pct', 'neg4pct', '10pct')",是,未知,,,,,
2025-09-02,9,000158,常山北明,94.8%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,24.44,23.17,-5.20%,+4.75%,第0天,2025-10-09,30,-,2025-09-03,2025-09-04,-,"('neg2pct', 'neg4pct')",是,计算机,80.0,,80.0,80.0,
2025-09-02,10,300647,超频三,94.5%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,7.18,6.89,-4.04%,+4.87%,第15天,2025-10-09,30,-,2025-09-03,2025-09-04,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-04,1,688766,普冉股份,97.0%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,71.33,119.22,+67.14%,+72.86%,第35天,2025-10-09,30,2025-09-10,-,-,第6天,-,是,未知,,,,,
2025-09-04,2,000962,东方钽业,97.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,20.45,25.94,+26.85%,+28.17%,第35天,2025-10-09,30,2025-09-05,-,-,第1天,-,是,未知,,,,,
2025-09-04,3,603738,泰晶科技,96.6%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,14.41,15.67,+8.74%,+12.01%,第20天,2025-10-09,30,2025-09-18,-,-,第14天,-,是,化工,25.32,,,,
2025-09-04,4,605168,三人行,96.5%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,31.08,31.48,+1.29%,+4.21%,第8天,2025-10-09,30,-,2025-09-22,2025-09-23,-,"('neg2pct', 'neg4pct')",是,化工,25.32,,,,
2025-09-04,5,300669,沪宁股份,96.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,33.61,31.64,-5.86%,+7.41%,第13天,2025-10-09,30,-,2025-09-09,2025-09-26,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-04,6,688435,英方软件,96.4%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,34.36,35.09,+2.12%,+8.76%,第18天,2025-10-09,30,-,2025-09-04,-,-,-,是,计算机,80.0,,80.0,,
2025-09-04,7,301121,紫建电子,95.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,47.09,52.32,+11.11%,+17.97%,第35天,2025-10-09,30,2025-09-16,2025-09-04,-,第12天,"('neg2pct', '10pct')",是,未知,,,,,
2025-09-04,8,300792,壹网壹创,95.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,28.11,34.24,+21.81%,+30.45%,第21天,2025-10-09,30,2025-09-09,2025-09-04,-,第5天,"('neg2pct', '10pct')",是,未知,,,,,
2025-09-04,9,002303,美盈森,95.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,4.144,4.414,+6.52%,+17.62%,第18天,2025-10-09,30,2025-09-19,-,-,第15天,-,是,未知,,,,,
2025-09-04,10,300839,博汇股份,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,14.09,13.8,-2.06%,+11.28%,第6天,2025-10-09,30,2025-09-10,2025-09-18,2025-09-18,第6天,"('10pct', 'neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-03,1,300792,壹网壹创,96.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,28.49,34.24,+20.18%,+28.71%,第22天,2025-10-09,30,2025-09-09,2025-09-04,-,第6天,"('neg2pct', '10pct')",是,未知,,,,,
2025-09-03,2,688580,伟思医疗,96.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,51.2,51.5,+0.59%,+7.03%,第5天,2025-10-09,30,-,2025-09-04,2025-09-22,-,"('neg2pct', 'neg4pct')",是,计算机,80.0,,80.0,,
2025-09-03,3,601608,中信重工,96.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.22,5.69,+9.00%,+9.20%,第36天,2025-10-09,30,-,2025-09-04,2025-09-04,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-03,4,600864,哈投股份,96.3%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,7.34,7.4,+0.82%,+5.04%,第0天,2025-10-09,30,-,2025-09-19,2025-09-23,-,"('neg2pct', 'neg4pct')",是,电子,46.75,,,,
2025-09-03,5,301536,星宸科技,95.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,61.85,66.88,+8.13%,+12.14%,第36天,2025-10-09,30,2025-09-25,2025-09-04,2025-09-04,第22天,"('neg2pct', 'neg4pct', '10pct')",是,计算机,80.0,,80.0,80.0,
2025-09-03,6,002841,视源股份,95.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,38.0,40.84,+7.47%,+9.42%,第22天,2025-10-09,30,-,2025-09-04,-,-,-,是,未知,,,,,
2025-09-03,7,601702,华峰铝业,95.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,17.1,17.28,+1.05%,+5.09%,第14天,2025-10-09,30,-,2025-09-04,2025-09-23,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-03,8,300647,超频三,95.3%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,6.96,6.89,-1.01%,+8.19%,第14天,2025-10-09,30,-,2025-09-23,-,-,-,是,未知,,,,,
2025-09-03,9,001268,联合精密,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,34.41,31.46,-8.57%,+12.99%,第12天,2025-10-09,30,2025-09-12,2025-09-04,2025-09-04,第9天,"('neg2pct', 'neg4pct', '10pct')",是,化工,25.7,,25.32,25.32,
2025-09-03,10,603112,华翔股份,94.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,16.964,17.334,+2.18%,+8.08%,第5天,2025-10-09,30,-,2025-09-16,2025-09-23,-,"('neg2pct', 'neg4pct')",是,未知,,,,,
2025-09-05,1,000776,广发证券,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,20.49,23.09,+12.69%,+14.40%,第34天,2025-10-09,30,2025-09-29,2025-09-05,-,第24天,"('neg2pct', '10pct')",是,证券,20.4,,20.4,,
2025-09-05,2,300211,*ST亿通,94.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.16,10.05,-1.08%,+4.13%,第34天,2025-10-09,30,-,2025-09-05,2025-09-12,-,"('neg2pct', 'neg4pct')",是,医药,24.98,,24.98,,
2025-09-05,3,300255,常山药业,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,47.59,49.29,+3.57%,+7.10%,第10天,2025-10-09,30,-,2025-09-05,2025-09-05,-,"('neg2pct', 'neg4pct')",是,医药,24.98,,24.98,24.98,
2025-09-05,4,300561,*ST汇科,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,16.56,15.73,-5.01%,+9.48%,第12天,2025-10-09,30,-,2025-09-05,2025-09-23,-,"('neg2pct', 'neg4pct')",是,计算机,80.0,,80.0,,
2025-09-05,5,301091,深城交,94.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,32.18,33.63,+4.51%,+9.66%,第21天,2025-10-09,30,-,2025-09-05,-,-,-,是,计算机,80.0,,80.0,,
2025-09-05,6,300380,安硕信息,93.7%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,51.47,49.16,-4.49%,+7.79%,第12天,2025-10-09,30,-,2025-09-05,2025-09-09,-,"('neg2pct', 'neg4pct')",是,计算机,80.0,,80.0,,
2025-09-05,7,688309,恒誉环保,93.5%,case_001 (华纳药厂),杯型整理+缩量+J值低位,2025-05-12,科创板,匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位,24.84,24.34,-2.01%,+7.29%,第6天,2025-10-09,30,-,2025-09-19,2025-09-22,-,"('neg2pct', 'neg4pct')",是,计算机,80.0,,,,
2025-09-05,8,003010,若羽臣,93.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,42.15,42.72,+1.35%,+8.19%,第17天,2025-10-09,30,-,2025-09-05,2025-09-05,-,"('neg2pct', 'neg4pct')",是,零售,20.23,,20.23,20.23,
2025-09-05,9,600284,浦东建设,93.1%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,8.59,9.66,+12.46%,+23.05%,第21天,2025-10-09,30,2025-09-18,2025-09-05,-,第13天,"('neg2pct', '10pct')",是,建筑,20.13,,20.13,,
2025-09-05,10,600864,哈投股份,92.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.48,7.4,-1.07%,+2.67%,第6天,2025-10-09,30,-,2025-09-05,2025-09-19,-,"('neg2pct', 'neg4pct')",是,电子,47.62,,47.62,,
