selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days
2025-10-09,603926,铁流股份,1,97.77,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],9.77,8.78,-10.133060388945756,2.251791197543507,4,2023-08-28,30
2025-10-09,002681,奋达科技,2,95.82,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],4.89,4.48,-8.384458077709597,6.134969325153389,11,2023-08-28,30
2025-10-09,605136,丽人丽妆,3,95.76,case_001,2025-05-12,科创板,['匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位'],11.584,10.444,-9.841160220994464,6.301795580110501,5,2023-08-28,30
2025-10-09,000810,创维数字,4,95.37,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],15.252,12.792,-16.12903225806452,0.26226068712299466,0,2023-08-28,30
2025-10-09,600228,*ST返利,5,94.89,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],9.33,7.99,-14.362272240085744,5.680600214362266,12,2023-08-25,30
2025-10-09,001306,夏厦精密,6,94.18,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],109.52,92.63,-15.421840759678599,16.891891891891905,4,2023-12-18,30
2025-10-09,002555,三七互娱,7,94.18,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],23.466,22.696,-3.2813432199778383,10.3980226710986,11,2023-08-28,30
2025-10-09,605319,无锡振华,8,94.11,case_009,2025-08-01,创业板,['匹配case_009: 新瀚新材 - 缩量后放量+价格接近短期趋势线+J值中位'],11.136,9.921,-10.910560344827585,3.3943965517241397,26,2023-08-28,30
2025-10-09,300457,赢合科技,9,93.81,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],26.592,30.361,14.173435619735267,22.634626955475326,32,2023-08-28,30
2025-10-09,603196,日播时尚,10,93.8,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],20.738,18.908,-8.824380364548166,10.704986016009252,19,2023-08-14,30
2025-10-10,603926,铁流股份,1,97.04,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],9.77,8.78,-10.133060388945756,2.251791197543507,4,2023-08-28,30
2025-10-10,002886,沃特股份,2,96.26,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],17.861,16.631,-6.88651251329713,11.925424108392582,5,2023-08-28,30
2025-10-10,603298,杭叉集团,3,95.13,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],16.036,15.036,-6.235969069593426,9.665752057869774,11,2023-08-28,30
2025-10-10,605136,丽人丽妆,4,94.82,case_001,2025-05-12,科创板,['匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位'],11.584,10.444,-9.841160220994464,6.301795580110501,5,2023-08-28,30
2025-10-10,300521,爱司凯,5,94.4,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],13.29,11.82,-11.060948081264101,2.7840481565086606,0,2023-08-28,30
2025-10-10,603266,天龙股份,6,94.1,case_008,2025-07-10,主板,['匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行'],13.64,12.62,-7.4780058651026495,3.6656891495601167,4,2023-08-28,30
2025-10-10,002164,宁波东力,7,94.05,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],5.87,5.4,-8.006814310051102,2.555366269165238,0,2023-08-28,30
2025-10-10,603912,佳力图,8,93.84,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],9.16,8.37,-8.624454148471626,3.7117903930130987,12,2023-08-28,30
2025-10-10,600228,*ST返利,9,93.66,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],9.33,7.99,-14.362272240085744,5.680600214362266,12,2023-08-25,30
2025-10-10,002664,信质集团,10,93.65,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],13.7,12.88,-5.985401459854004,12.919708029197091,12,2023-08-28,30
2025-10-13,603683,晶华新材,1,96.07,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],10.955,9.965,-9.036969420356003,2.0994979461433174,0,2023-08-28,30
2025-10-13,002920,德赛西威,2,94.54,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],154.56,135.62,-12.254140786749481,7.550465838509308,11,2023-08-28,30
2025-10-13,688237,超卓航科,3,93.94,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],43.79,43.33,-1.0504681434117398,8.906142955012557,12,2023-08-21,30
2025-10-13,301029,怡合达,4,93.86,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],37.73,33.75,-10.54863503843095,5.327325735489015,6,2023-08-28,30
2025-10-13,603266,天龙股份,5,93.7,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],13.64,12.62,-7.4780058651026495,3.6656891495601167,4,2023-08-28,30
2025-10-13,002624,完美世界,6,93.6,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],13.685,12.685,-7.307270734380708,8.549506759225428,11,2023-08-28,30
2025-10-13,603196,日播时尚,7,93.53,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],20.738,18.908,-8.824380364548166,10.704986016009252,19,2023-08-14,30
2025-10-13,002558,巨人网络,8,93.41,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],13.332,12.492,-6.300630063006299,6.300630063006299,11,2023-08-28,30
2025-10-13,002239,奥特佳,9,93.35,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],2.728,2.568,-5.865102639296192,6.5982404692082,5,2023-08-28,30
2025-10-13,300984,金沃股份,10,93.14,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],18.121,16.095,-11.180398432757574,2.571602008719172,4,2023-08-28,30
2025-10-14,002011,盾安环境,1,96.58,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],13.48,11.27,-16.394658753709205,3.8575667655786314,0,2023-08-28,30
2025-10-14,300715,凯伦股份,2,95.38,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],14.785,13.525,-8.52215082854244,6.425431180250249,4,2023-08-28,30
2025-10-14,300688,创业黑马,3,94.53,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],31.565,30.145,-4.498653571994303,7.413274196103278,1,2023-08-14,30
2025-10-14,603926,铁流股份,4,94.03,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],9.77,8.78,-10.133060388945756,2.251791197543507,4,2023-08-28,30
2025-10-14,603216,梦天家居,5,93.99,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],12.79,12.95,1.250977326035967,7.6622361219702935,17,2023-08-14,30
2025-10-14,603486,科沃斯,6,93.78,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],72.916,59.516,-18.377310878270887,8.54407811728565,8,2023-08-28,30
2025-10-14,301479,弘景光电,7,93.57,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],113.264,72.114,-36.33104958327446,5.56222630315016,0,2025-04-17,30
2025-10-14,688230,芯导科技,8,93.45,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],41.19,35.64,-13.474144209759645,2.9133284777858774,0,2023-08-28,30
2025-10-14,688328,深科达,9,93.44,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],25.23,21.13,-16.25049544193421,5.350772889417351,0,2023-08-28,30
2025-10-14,301046,能辉科技,10,93.39,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],29.5,24.95,-15.423728813559324,2.949152542372885,0,2023-08-28,30
