selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days,trigger_10pct_date,trigger_5pct_date,trigger_neg2pct_date,trigger_neg4pct_date,trigger_10pct_day,trigger_5pct_day,first_reach_order,ever_below_zero,industry,industry_heat_buy,industry_heat_10pct,industry_heat_5pct,industry_heat_neg2pct,industry_heat_neg4pct,industry_heat_sell
2025-07-01,301188,力诺药包,1,95.69,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],21.78,25.26,15.977961432506888,18.319559228650128,44,2025-08-15,45,2025-08-11,2025-08-05,2025-07-02,2025-07-03,41,35,"('neg2pct', 'neg4pct', '5pct', '10pct')",True,轻工制造,33.37,31.09,28.92,31.73,31.41,27.77
2025-07-01,000518,*ST四环,2,94.28,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],2.54,2.28,-10.236220472440955,3.1496062992126013,3,2025-08-15,45,,,2025-07-02,2025-07-11,,,"('neg2pct', 'neg4pct')",True,纺织服饰,30.05,,,28.56,28.66,23.55
2025-07-01,603036,如通股份,3,93.9,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],16.96,19.9,17.334905660377345,17.924528301886784,45,2025-08-15,45,2025-08-14,2025-08-11,2025-07-08,2025-07-11,44,41,"('neg2pct', 'neg4pct', '5pct', '10pct')",True,机械设备,61.52,69.21,70.45,58.83,52.4,63.95
2025-07-01,300475,香农芯创,4,93.46,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],35.08,36.11,2.9361459521094675,7.924743443557586,43,2025-08-15,45,,2025-08-12,2025-07-02,2025-07-10,,42,"('neg2pct', 'neg4pct', '5pct')",True,电子,80.0,,83.21,76.42,79.02,78.33
2025-07-01,000669,ST金鸿,5,93.45,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],2.6,3.45,32.69230769230769,41.53846153846154,44,2025-08-15,45,2025-07-22,2025-07-08,2025-07-02,,21,7,"('neg2pct', '5pct', '10pct')",True,电子,80.0,81.66,87.46,76.42,,78.33
2025-07-01,603657,春光科技,6,93.07,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],33.58,33.63,0.1488981536629073,8.368076235854682,7,2025-08-15,45,,2025-07-08,2025-07-01,2025-07-10,,7,"('neg2pct', '5pct', 'neg4pct')",True,家用电器,31.43,,33.42,31.43,25.47,35.29
2025-07-01,000766,通化金马,7,92.72,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],25.35,23.5,-7.297830374753457,2.3668639053254354,1,2025-08-15,45,,,2025-07-02,2025-07-02,,,"('neg2pct', 'neg4pct')",True,医药生物,66.0,,,58.67,58.67,58.39
2025-07-01,301567,贝隆精密,8,92.42,case_011,2025-11-12,主板,['匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破'],42.55,43.83,3.0082256169212718,6.415981198589904,41,2025-08-15,45,,2025-08-07,2025-07-02,,,37,"('neg2pct', '5pct')",True,电子,80.0,,84.44,76.42,,78.33
2025-07-01,603353,和顺石油,9,92.25,case_008,2025-07-10,主板,['匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行'],16.68,16.83,0.8992805755395598,4.556354916067155,41,2025-08-15,45,,,2025-07-04,,,,,True,基础化工,80.0,,,79.62,,67.21
2025-07-01,600568,ST中珠,10,91.7,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],1.66,1.88,13.253012048192769,17.469879518072293,43,2025-08-15,45,2025-08-12,2025-08-11,2025-07-02,2025-07-02,42,41,"('neg2pct', 'neg4pct', '5pct', '10pct')",True,医药生物,66.0,67.4,70.09,58.67,58.67,58.39
2025-07-02,000669,ST金鸿,1,94.79,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],2.6,3.35,28.846153846153843,41.53846153846154,43,2025-08-18,45,2025-07-22,2025-07-08,2025-07-02,,20,6,"('neg2pct', '5pct', '10pct')",True,电子,76.42,81.66,87.46,76.42,,85.83
2025-07-02,300056,中创环保,2,94.57,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],14.06,14.74,4.836415362731151,12.873399715504968,35,2025-08-18,45,2025-08-05,2025-07-23,2025-07-14,2025-07-14,34,21,"('neg2pct', 'neg4pct', '5pct', '10pct')",True,公用事业,32.33,32.11,38.71,39.82,39.82,33.94
2025-07-02,300648,星云股份,3,94.06,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],33.91,58.99,73.9604836331466,76.8799764081392,43,2025-08-18,45,2025-07-14,2025-07-09,2025-07-03,2025-07-07,12,7,"('neg2pct', 'neg4pct', '5pct', '10pct')",True,电力设备,63.67,61.3,63.89,63.42,59.08,63.39
2025-07-02,002241,歌尔股份,4,93.93,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],22.66,28.31,24.933804060017646,26.83142100617828,47,2025-08-18,45,2025-08-14,2025-07-03,2025-07-07,,43,1,"('5pct', 'neg2pct', '10pct')",True,电子,76.42,81.91,82.79,74.71,,85.83
