selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days,trigger_10pct_date,trigger_neg2pct_date,trigger_neg4pct_date,trigger_10pct_day,first_reach_order,ever_below_zero,industry,industry_heat_buy,industry_heat_10pct,industry_heat_neg2pct,industry_heat_neg4pct,industry_heat_sell
2025-09-05,000776,广发证券,1,95.0,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],20.49,22.62,10.39531478770133,19.814543679843837,35,2025-10-20,45,2025-09-29,2025-09-05,,24,"('neg2pct', '10pct')",True,证券,15.04,41.1,15.04,,14.75
2025-09-05,300211,*ST亿通,2,94.67,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],10.16,9.73,-4.232283464566926,4.133858267716534,34,2025-10-20,45,,2025-09-05,2025-09-12,,"('neg2pct', 'neg4pct')",True,医药,21.48,,21.48,21.36,22.91
2025-09-05,300255,常山药业,3,94.44,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],47.59,50.98,7.12334524059675,9.24563984030258,45,2025-10-20,45,,2025-09-05,2025-09-05,,"('neg2pct', 'neg4pct')",True,医药,21.48,,21.48,21.48,22.91
2025-09-05,300561,*ST汇科,4,94.43,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],16.56,15.46,-6.642512077294674,9.480676328502417,12,2025-10-20,45,,2025-09-05,2025-09-23,,"('neg2pct', 'neg4pct')",True,计算机,77.83,,77.83,80.17,76.91
2025-09-05,301091,深城交,5,94.14,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],32.18,32.5,0.9944064636420147,14.729645742697334,39,2025-10-20,45,2025-10-13,2025-09-05,,38,"('neg2pct', '10pct')",True,计算机,77.83,79.98,77.83,,76.91
