选股日期,排名,代码,名称,相似度,匹配案例,匹配日期,类别,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数
2025-10-09,1,603926,铁流股份,97.8%,case_002,2025-08-06,bowl_center,匹配case_002,17.71,18.5,+4.46%,+59.23%,第119天,2026-03-20,30
2025-10-09,2,002681,奋达科技,95.8%,case_006,2025-08-04,bowl_center,匹配case_006,7.25,5.6,-22.76%,+5.93%,第53天,2026-03-20,30
2025-10-09,3,605136,丽人丽妆,95.8%,case_001,2025-05-12,bowl_center,匹配case_001,9.95,9.79,-1.61%,+42.51%,第98天,2026-03-20,30
2025-10-09,4,000810,创维数字,95.4%,case_002,2025-08-06,bowl_center,匹配case_002,13.58,10.8,-20.47%,+4.49%,第1天,2026-03-20,30
2025-10-09,5,600228,*ST返利,94.9%,case_004,2025-07-23,bowl_center,匹配case_004,5.56,5.43,-2.34%,+44.06%,第56天,2026-03-20,30
2025-10-09,6,001306,夏厦精密,94.2%,case_002,2025-08-06,bowl_center,匹配case_002,102.72,67.28,-34.50%,+4.91%,第0天,2026-03-20,30
2025-10-09,7,002555,三七互娱,94.2%,case_002,2025-08-06,bowl_center,匹配case_002,21.381,22.42,+4.86%,+45.04%,第96天,2026-03-20,30
2025-10-09,8,605319,无锡振华,94.1%,case_009,2025-08-01,bowl_center,匹配case_009,24.81,23.75,-4.27%,+4.80%,第124天,2026-03-20,30
2025-10-09,9,300457,赢合科技,93.8%,case_002,2025-08-06,bowl_center,匹配case_002,34.48,24.29,-29.55%,+4.70%,第0天,2026-03-20,30
2025-10-09,10,603196,日播时尚,93.8%,case_004,2025-07-23,bowl_center,匹配case_004,22.1,26.84,+21.45%,+32.53%,第112天,2026-03-20,30
